scenario,planner,replan_policy,backend,physics_validation_passes,runs,scenario_count,completed_runs,completion_rate,failed_plans,collision_episodes,collision_free_rate,planner_calls_mean,replans_mean,replan_failures,planning_time_ms_median,planning_time_ms_p95,planning_time_ms_mean,call_time_ms_median,call_time_ms_max,time_to_goal_ms_mean,simulated_duration_ms_mean,wall_time_ms_mean,realtime_factor_mean,planned_path_length_mm_mean,travelled_distance_mm_mean,mean_final_error_mm,minimum_clearance_mm,near_miss_free_rate,call_time_ms_p95_median,planning_ms_per_sim_s_mean,path_efficiency_mean
snapshot_1787566435,visibility,event+pred100,kinematic,0,1,1,1,1.0,0,1,0.0,519.0,38.0,2,401.0778279935039,401.0778279935039,401.0778279935039,0.7727896493131096,11.732988999938243,3299.999999999993,3299.999999999993,419.23972299991874,7.871391518881985,7313.070734352056,7130.123261753748,58.45407626467851,-5.335646430264006,0.0,9.353709000151866,121.53873575560749,1.0102054791505621
snapshot_1787566435,visibility,event+pred500,kinematic,0,1,1,1,1.0,0,4,0.0,515.0,35.0,151,379.6550120014217,379.6550120014217,379.6550120014217,0.737194198061013,10.847474000001966,3633.3333333333253,3633.3333333333253,398.49527900014436,9.117632064424052,7313.070734352056,7178.412333253493,59.278864258220075,-33.933173978687876,0.0,9.419271999831835,104.49220513800621,1.0034098421284094
snapshot_1787566435~perturbed,voronoi,event+pred100,kinematic,0,20,20,20,1.0,0,2,0.9,444.35,10.25,29,33.1607305020043,113.23997000545205,40.965675801157886,0.07435354721281198,8.312052999826847,3067.499999999994,3067.499999999994,57.09232264998718,57.70992688661479,13226.595981125905,9166.965104378756,59.07490131869724,-28.048227326091393,0.0,0.05489000000125088,13.94701347045727,0.801157171511471
snapshot_1787566435~perturbed,voronoi,event+pred500,kinematic,0,20,20,20,1.0,0,9,0.7,581.95,82.4,52,83.0014109988042,197.75228399748812,100.47569414973623,0.1549127586959939,9.34529799997108,4091.666666666657,4091.666666666657,121.57152415002201,35.70470093763088,13226.595981125905,11884.343604621565,58.44924867298173,-116.14460307268831,0.0,0.06838299987066421,25.231493867417804,0.6355340797459198
snapshot_1787566435~perturbed,prm,event+pred100,kinematic,0,20,20,20,1.0,0,0,1.0,433.3,2.1,369,36.700198501421255,99.95953099951294,43.026029799762,0.08526756525018284,9.897153000110848,2999.999999999994,2999.999999999994,58.331933450062934,53.83353843149503,10769.258912033323,9330.026707375813,58.95490784303432,0.1553389975869095,0.0,0.0537764999535284,14.076196468480044,0.7881346667074787
snapshot_1787566435~perturbed,prm,event+pred500,kinematic,0,20,20,20,1.0,0,15,0.4,459.65,1.6,1809,34.76058050227948,164.24191199575944,42.75583235000795,0.07501702654315662,14.937365000150749,3207.4999999999936,3207.4999999999936,59.308880749995296,57.61770736785171,10769.258912033323,10551.0195084327,58.975038422864216,-136.25134745162885,0.0,0.061020499970254605,12.96941656697749,0.7214310702231497
snapshot_1787566435~perturbed,visibility,event+pred100,kinematic,0,20,20,20,1.0,0,53,0.0,523.35,36.7,967,351.32085050167916,717.7678360039863,382.9159771992863,0.6948568155505364,15.796958000009909,3441.6666666666592,3441.6666666666592,401.830098200071,11.554040056463935,7401.17012157842,7293.040027316955,58.89249178823512,-160.0966182495429,0.0,9.042806000024939,109.7862849645406,0.9971018346645429
snapshot_1787566435~perturbed,visibility,event+pred500,kinematic,0,20,20,20,1.0,0,50,0.05,523.8,27.75,2669,318.8052379991859,576.3133230020685,304.4050248004851,0.6108034451576474,15.387817000373616,3451.6666666666592,3451.6666666666592,323.00635140002214,14.41240287625217,7401.17012157842,7447.978570110489,58.97431889889383,-171.83364832739957,0.0,9.07500100015568,86.50255322793822,0.9765087849236659
random,voronoi,event+pred100,kinematic,0,200,200,199,0.995,1,3,0.985,444.41,9.34,102,25.341094501300176,65.8475410077699,30.024120450057126,0.05455705423286426,8.328618000177812,3071.356783919592,3067.083333333327,48.75700618001474,68.0354627984305,13359.99124667925,12584.354070341902,69.37058409828022,-110.17842749578543,0.445,0.0490090001221688,9.901990036294636,0.9658055181062857
random,voronoi,event+pred500,kinematic,0,200,200,196,0.98,4,25,0.895,620.32,101.4,2296,100.02011199480876,311.0052140004882,118.59354543517156,0.17331058086332782,17.134720000285597,4502.295918367338,4472.416666666658,145.76514277502156,40.363721945005764,13620.735701037476,16340.270294504324,88.4937877669168,-152.66554584294312,0.425,0.07019650001893751,26.40020676807904,0.7764318348305381
random,prm,event+pred100,kinematic,0,200,200,195,0.975,5,13,0.94,426.74,2.03,1729,20.122845996411343,64.16948900459829,26.254748399999244,0.0498925384713715,32.74451600009343,2909.401709401704,2894.9999999999945,43.99066173499932,75.05367846258262,12664.971348221712,12608.93736408935,98.9861001119792,-173.61265080046752,0.415,0.02732449979703233,8.82228121259137,0.9728087463405914
random,prm,event+pred500,kinematic,0,200,200,178,0.89,24,28,0.865,424.035,1.49,20168,22.730806001618475,78.47195299473242,29.48432567528471,0.05287494565709726,25.960908999877574,3109.3632958801436,3042.166666666661,47.74231553499931,75.1539181067113,12530.406614994263,12471.846121349292,246.97887284017403,-161.32455345251213,0.465,0.06132649991741346,8.984085802410767,1.0370478631623983
random,visibility,event+pred100,kinematic,0,200,200,195,0.975,5,69,0.725,431.6,6.94,2567,44.49570199858499,260.9073250005167,78.17815782992739,0.09657792727468384,31.403162999595224,2982.2222222222163,2968.499999999994,96.13902578500529,53.86628267483211,11988.11978898757,11871.577052259508,98.99917307535394,-176.29411240514736,0.37,0.035735500205191784,23.99478090266692,1.0246731557828639
random,visibility,event+pred500,kinematic,0,200,200,178,0.89,24,76,0.705,428.53,4.625,20479,28.56916200175874,209.0686930018819,59.58895023565901,0.07095121362905946,33.85277600000336,3158.8014981273345,3084.499999999994,77.7717694050034,65.28101508881646,11573.426873941706,11655.381773122914,246.96729652639152,-169.82772860206973,0.37,0.05717049998565926,15.889797016674674,1.0934904974342263
