scenario,planner,trial,seed,status,completed,timed_out,robot_count,planner_calls,failed_plans,failed_robots,planning_time_ms_total,planning_time_ms_mean,simulated_duration_ms,wall_time_ms,realtime_factor,ticks,robot_collision_episodes,obstacle_collision_episodes,collision_episodes,planned_path_length_mm,travelled_distance_mm,mean_final_error_mm,max_final_error_mm,minimum_clearance_mm,dt_ms,backend,physics_validation_passed,missed_frames,max_frame_gap_ms,max_final_speed_mmps,evidence_directory,error,scenario_set,replan_policy,replan_count,replan_failures,planning_time_ms_initial,planning_time_ms_max_call,time_to_goal_ms
22.11.24.08.2026~p002,prm,1,0,planning_failed,False,False,3,230,1,Y1,299.4594249998954,1.3019974999995454,2266.6666666666633,308.8922259998981,7.338050219067059,136,0,0,0,10525.6091017326,5817.75117489992,777.9307073047762,2215.469990769453,31.16476542179373,20.0,kinematic,False,0,0.0,,,,22.11.24.08.2026~perturbed,cycle,42,0,12.332207000099515,7.519843999943987,
22.11.24.08.2026~p002,prm,1,0,planning_failed,False,False,3,283,1,Y1,17.458385999134407,0.0616904098909343,2399.9999999999964,26.73804799997015,89.75973115175333,144,0,0,0,10525.6091017326,8224.334394873618,778.3865118476174,2215.469990769453,30.569122457871543,20.0,kinematic,False,0,0.0,,,,22.11.24.08.2026~perturbed,event,0,0,12.379353999676823,6.160629999840239,
22.11.24.08.2026~p002,visibility,1,0,planning_failed,False,False,3,3,1,Y1,19.948092999811706,6.649364333270569,3100.0000000000023,22.635848000163605,136.95091078441578,155,0,1,1,5244.831366359385,5018.6337033425325,777.7941676911432,2215.469990769453,-47.71733808623432,20.0,kinematic,False,0,0.0,,,,22.11.24.08.2026~perturbed,once,0,0,19.948092999811706,10.072065000031216,
22.11.24.08.2026~p002,visibility,1,0,planning_failed,False,False,3,277,1,Y1,519.5478819996424,1.8756241227423913,3099.999999999994,531.1412040000505,5.836489386727563,186,0,0,0,5244.831366359385,4713.040836694204,778.096874917349,2215.469990769453,5.5885429487433385,20.0,kinematic,False,0,0.0,,,,22.11.24.08.2026~perturbed,cycle,50,24,20.033711999758452,11.410981999915748,
22.11.24.08.2026~p002,visibility,1,0,planning_failed,False,False,3,277,1,Y1,124.12208300065686,0.448094162457245,3099.999999999994,134.1914080001061,23.101330004656806,186,0,0,0,5244.831366359385,4713.040836694204,778.096874917349,2215.469990769453,5.5885429487433385,20.0,kinematic,False,0,0.0,,,,22.11.24.08.2026~perturbed,event,10,24,20.782306999990396,10.604090000015276,
22.11.24.08.2026~p003,voronoi,1,0,completed,True,False,3,3,0,,13.603018999674532,4.534339666558178,4719.999999999987,17.74448699984532,265.998109725073,236,0,0,0,9164.348705836639,8586.05590545225,58.6122114960693,59.737914582443096,19.602763501939933,20.0,kinematic,False,0,0.0,,,,22.11.24.08.2026~perturbed,once,0,0,13.603018999674532,4.729766999844287,4719.999999999987
22.11.24.08.2026~p003,voronoi,1,0,completed,True,False,3,349,0,,219.43753500045204,0.6287608452735015,2166.666666666664,230.6741840000086,9.392757477649006,130,0,0,0,9164.348705836639,7336.551457221879,59.293066875032764,59.781524505524715,19.503528578942763,20.0,kinematic,False,0,0.0,,,,22.11.24.08.2026~perturbed,cycle,44,18,13.339567000002717,4.738527999961661,2166.666666666664
22.11.24.08.2026~p003,voronoi,1,0,completed,True,False,3,361,0,,43.06258600081492,0.11928694183051224,2183.3333333333303,54.04455699999744,40.398764547805136,131,0,0,0,9164.348705836639,7571.377726497007,58.28821478338077,58.43555859604922,19.503528578942763,20.0,kinematic,False,0,0.0,,,,22.11.24.08.2026~perturbed,event,4,13,13.646598000150334,4.833524000105172,2183.3333333333303
22.11.24.08.2026~p003,prm,1,0,completed,True,False,3,3,0,,19.206958000040686,6.402319333346895,4179.999999999999,22.918514000139112,182.38529775423603,209,0,0,0,10979.667256740335,10333.096533866232,58.34997858045787,58.84946720663148,80.77256893693988,20.0,kinematic,False,0,0.0,,,,22.11.24.08.2026~perturbed,once,0,0,19.206958000040686,6.460198000013406,4179.999999999999
22.11.24.08.2026~p003,prm,1,0,completed,True,False,3,356,0,,470.8261280009083,1.3225453033733379,2399.9999999999964,484.0627940000104,4.958034432202085,144,0,0,0,10979.667256740335,7929.864735594852,59.469291604798364,59.95385487710484,29.314839966345517,20.0,kinematic,False,0,0.0,,,,22.11.24.08.2026~perturbed,cycle,68,15,18.265575000214085,6.700544000068476,2399.9999999999964
