scenario,planner,replan_policy,backend,physics_validation_passes,runs,scenario_count,completed_runs,completion_rate,failed_plans,collision_episodes,collision_free_rate,planner_calls_mean,replans_mean,replan_failures,planning_time_ms_median,planning_time_ms_p95,planning_time_ms_mean,call_time_ms_median,call_time_ms_max,time_to_goal_ms_mean,simulated_duration_ms_mean,wall_time_ms_mean,realtime_factor_mean,planned_path_length_mm_mean,travelled_distance_mm_mean,mean_final_error_mm,minimum_clearance_mm
22.11.24.08.2026~perturbed,visibility,once,kinematic,0,20,20,16,0.8,4,22,0.2,3.0,0.0,0,30.89463000003434,33.78440800020144,29.22844940003415,10.298210000011448,11.959597999975813,3673.7500000000014,3566.0000000000014,32.46327080003084,111.35816459625823,6994.871202173837,6768.603156683408,205.30883148464136,-133.05182025067762
22.11.24.08.2026~perturbed,visibility,cycle,kinematic,0,20,20,16,0.8,4,23,0.2,501.9,187.35,1500,2036.7865679995703,3362.45447400006,2039.0226745996756,3.7890720155161715,40.83948199991028,3779.1666666666583,3627.499999999992,2060.3578598999775,2.082660341059717,6994.871202173837,6823.915813230318,205.36778831697112,-175.95899853461032
22.11.24.08.2026~perturbed,visibility,event,kinematic,0,20,20,16,0.8,4,20,0.3,503.1,36.95,1292,377.75813900270805,954.8568820009677,446.3556928998855,0.8445402863967815,41.1253489999126,3773.958333333325,3646.6666666666583,464.1336679000233,9.496574037824525,6994.871202173837,6806.275971429805,205.47536987149837,-167.2423600793483
crowded,voronoi,once,kinematic,0,1,1,1,1.0,0,1,0.0,3.0,0.0,0,14.502325999956156,14.502325999956156,14.502325999956156,4.834108666652052,4.875177000030817,9979.999999999876,9979.999999999876,23.569738999867695,423.4242899361719,22854.683707277938,21713.968751648077,58.559378754345495,-68.28004262027912
crowded,voronoi,cycle,kinematic,0,1,1,1,1.0,0,0,1.0,637.0,289.0,38,1381.9751429971348,1381.9751429971348,1381.9751429971348,2.1695057189907923,5.437065000023722,3966.6666666666574,3966.6666666666574,1404.6711260000393,2.823911300833948,22854.683707277938,15737.332099692936,58.952326217719225,30.273786130504874
crowded,voronoi,event,kinematic,0,1,1,1,1.0,0,0,1.0,890.0,1.0,0,47.76528999946095,47.76528999946095,47.76528999946095,0.05366886516793365,4.82117699993978,7366.666666666646,7366.666666666646,76.76335899986952,95.96592388145974,22854.683707277938,16538.080750100242,59.06401625638856,30.151574648185118
crowded,prm,once,kinematic,0,1,1,1,1.0,0,1,0.0,3.0,0.0,0,22.04441300000326,22.04441300000326,22.04441300000326,7.348137666667753,7.5149550000332965,4020.0000000000023,4020.0000000000023,25.680158000113806,156.54109293183424,11572.025797384194,10707.244565540983,58.17190314546332,-77.87559992016375
crowded,prm,cycle,kinematic,0,1,1,1,1.0,0,0,1.0,454.0,190.0,18,1483.1229480046204,1483.1229480046204,1483.1229480046204,3.266790634371411,34.64552600007664,2749.999999999995,2749.999999999995,1501.7081290000078,1.8312479947959186,11572.025797384194,9566.658786810096,59.23430444056172,30.188110644927946
crowded,prm,event,kinematic,0,1,1,1,1.0,0,0,1.0,624.0,5.0,0,71.53694999806248,71.53694999806248,71.53694999806248,0.11464254807381809,7.695397999896159,3833.3333333333244,3833.3333333333244,89.85339899982137,42.66208486271004,11572.025797384194,10525.997933384975,58.605845913051844,30.22413458376215
crowded,visibility,once,kinematic,0,1,1,1,1.0,0,3,0.0,3.0,0.0,0,15.784220000114146,15.784220000114146,15.784220000114146,5.2614066667047155,5.524721000028876,4319.999999999995,4319.999999999995,19.645505999960733,219.89761933383798,6145.55127830457,5683.185237137929,59.37604901278437,-28.216534692770637
crowded,visibility,cycle,kinematic,0,1,1,1,1.0,0,2,0.0,638.0,252.0,227,1362.4823939946964,1362.4823939946964,1362.4823939946964,2.1355523416844773,6.577429000117263,4133.333333333324,4133.333333333324,1385.2477610000733,2.983822424913564,6145.55127830457,5697.086865618212,59.11290058133249,-28.867576325329196
crowded,visibility,event,kinematic,0,1,1,1,1.0,0,2,0.0,711.0,42.0,128,271.0091229994305,271.0091229994305,271.0091229994305,0.3811661364267658,6.025887000078001,4299.99999999999,4299.99999999999,293.60937399997056,14.64530897436681,6145.55127830457,5819.1041219914905,59.17200945464996,-28.899788261890365
crowded~perturbed,voronoi,once,kinematic,0,20,20,20,1.0,0,14,0.45,3.0,0.0,0,14.417541500165498,19.257961999755935,14.892498550034361,4.805847166721833,8.527074000085122,9462.999999999887,9462.999999999887,23.365771899966603,405.89930170846355,23589.26116339156,22423.882538884503,58.768269115993256,-145.64863865378084
crowded~perturbed,voronoi,cycle,kinematic,0,20,20,17,0.85,0,104,0.75,784.9,410.9,2668,1286.548846001665,9126.444064997486,1977.3434962003194,2.1509166935608937,12.920446000180164,3664.7058823529333,7614.999999999993,2010.5553172999862,4.19323566953105,23589.26116339156,13871.94489376962,133.4034308738291,-2.5533154351694805
crowded~perturbed,voronoi,event,kinematic,0,20,20,19,0.95,0,108,0.85,1033.45,6.75,2382,55.946827998582194,175.14007800059517,63.571146849551496,0.05672324226396891,5.539742999872033,7624.561403508781,8743.333333333341,98.56062119999933,86.76510551956497,23589.26116339156,18283.736209278377,59.42342364212417,-2.637852902711302
crowded~perturbed,prm,once,kinematic,0,20,20,10,0.5,10,18,0.3,3.0,0.0,0,19.430528000043523,23.844136999969123,18.632360949982285,6.476842666681174,10.180874000070617,4391.999999999994,4318.9999999999945,22.466402250017836,196.72419208023476,10024.541206404449,9231.390365111843,236.26831658787827,-162.9879652332515
crowded~perturbed,prm,cycle,kinematic,0,20,20,10,0.5,10,0,1.0,356.8,143.3,422,1008.0791994997753,1648.8189149997652,1113.1238518502755,3.167395792515533,24.11418900010176,2813.3333333333285,2759.9999999999955,1129.1538672000115,2.515317735872256,10024.541206404449,7278.879357411201,236.4331336591068,30.06265969515266
crowded~perturbed,prm,event,kinematic,0,20,20,10,0.5,10,0,1.0,537.3,4.0,38,48.29716800043116,165.68195700347133,58.92488105124585,0.0857021735040503,13.779416000033962,4089.9999999999905,4184.999999999991,76.0652528500259,63.11699307845974,10024.541206404449,8835.402835953595,236.5487470082306,30.024769873780457
crowded~perturbed,visibility,once,kinematic,0,20,20,10,0.5,10,71,0.0,3.0,0.0,0,14.368357499733975,21.850050999773885,15.178154399939103,4.7894524999113255,9.554282999943098,4107.999999999999,3944.000000000001,18.70863230002442,217.56518739479233,4916.032744215296,4523.390013215606,236.23822945919352,-163.73229061334172
crowded~perturbed,visibility,cycle,kinematic,0,20,20,10,0.5,10,56,0.0,529.15,226.25,3670,1363.8376614983372,2403.5641079972265,1374.9923184504496,2.54672311363188,16.050564000124723,4103.333333333324,3899.9999999999914,1395.6187306499942,2.966722700786907,4916.032744215296,4670.721297150418,236.51869389348226,-85.10068446202808
crowded~perturbed,visibility,event,kinematic,0,20,20,10,0.5,10,59,0.0,565.3,37.6,3049,244.98288550023517,433.8889559992367,257.3517184992056,0.44101105775835747,12.591875999987678,4294.99999999999,4038.333333333324,275.85687535000716,15.966814460328587,4916.032744215296,4762.252811357669,236.42998863946113,-173.47541174759164
snapshot_1787566435,voronoi,once,kinematic,0,1,1,1,1.0,0,0,1.0,3.0,0.0,0,13.456986999926812,13.456986999926812,13.456986999926812,4.485662333308937,4.555216999960976,5979.999999999961,5979.999999999961,18.857790000083696,317.1103294698594,14135.051375600542,13344.563131450486,58.1445406143314,114.65139913895848
snapshot_1787566435,voronoi,cycle,kinematic,0,1,1,1,1.0,0,0,1.0,414.0,77.0,17,365.0950200017178,365.0950200017178,365.0950200017178,0.8818720289896564,5.622051000045758,2383.33333333333,2383.33333333333,378.6120889999438,6.2949213788408205,14135.051375600542,9606.008457094404,58.82551872742808,31.742996098004028
snapshot_1787566435,voronoi,event,kinematic,0,1,1,1,1.0,0,0,1.0,576.0,0.0,0,32.82330000206457,32.82330000206457,32.82330000206457,0.056984895836917654,4.540425000186588,4999.999999999987,4999.999999999987,52.430666999953246,95.3640357084232,14135.051375600542,10879.956918416727,59.18155876737728,32.83419721871488
snapshot_1787566435,prm,once,kinematic,0,1,1,1,1.0,0,0,1.0,3.0,0.0,0,19.8820190000788,19.8820190000788,19.8820190000788,6.627339666692933,6.791602000021157,3520.0000000000027,3520.0000000000027,23.201744000061808,151.71273331826373,11164.864366004127,10460.874719914777,58.68439083011279,15.17613183107261
snapshot_1787566435,prm,cycle,kinematic,0,1,1,1,1.0,0,0,1.0,385.0,99.0,15,687.7041669990831,687.7041669990831,687.7041669990831,1.7862445896080081,7.128914000077202,2583.333333333329,2583.333333333329,702.452570000105,3.6775911195441178,11164.864366004127,8353.746993152814,59.14042461814808,30.761747543713255
snapshot_1787566435,prm,event,kinematic,0,1,1,1,1.0,0,0,1.0,472.0,3.0,0,49.503135996928904,49.503135996928904,49.503135996928904,0.10487952541722226,7.7101130000301055,3216.66666666666,3216.66666666666,64.1481779998685,50.14431846643024,11164.864366004127,10559.46282910853,59.57869247010018,32.662698198340166
snapshot_1787566435,visibility,once,kinematic,0,1,1,1,1.0,0,1,0.0,3.0,0.0,0,27.740427000026102,27.740427000026102,27.740427000026102,9.246809000008701,9.417852000069615,3460.0000000000027,3460.0000000000027,30.96284199978072,111.74684804529592,7472.2471686910085,7236.414305799422,59.169580584883015,-10.18510659924928
