scenario,planner,replan_policy,prediction_horizon_ms,replan_period_ms,planning_clearance_mm,backend,physics_validation_passes,runs,scenario_count,completed_runs,completion_rate,failed_plans,collision_episodes,collision_free_rate,planner_calls_mean,replans_mean,replan_failures,planning_time_ms_median,planning_time_ms_p95,planning_time_ms_mean,call_time_ms_median,call_time_ms_max,time_to_goal_ms_mean,simulated_duration_ms_mean,wall_time_ms_mean,realtime_factor_mean,planned_path_length_mm_mean,travelled_distance_mm_mean,mean_final_error_mm,minimum_clearance_mm,near_miss_free_rate,call_time_ms_p95_median,planning_ms_per_sim_s_mean,collision_probability,collision_probability_ci95,contact_time_ms_mean,rebuild_share_of_planning_time,check_call_ms_mean,rebuild_call_ms_mean,replans_active_blocked_mean,replans_route_finished_mean,replans_route_blocked_mean,direct_path_switches_mean,path_shift_mm_mean,heading_change_rad_per_m_mean,sharp_turns_mean,path_efficiency_mean
random,prm,event+pred50,50.0,100.0,0.0,kinematic,0,200,200,181,0.905,19,130,0.555,148.705,5.2,1151,67.0010000030743,139.29629980702884,73.95790100039449,0.46246074033766493,47.951299988199025,3495.0276243093904,3507.0999999999976,112.55948100108071,35.09202700276485,25438.479940565947,26180.041491036984,125.88778690030864,-177.9284229645285,0.33,0.16245000006165355,20.82695323322119,0.44499999999999995,0.378-0.514,165.50000000000003,0.9561162707470348,0.02358683505537006,6.3676139123616,4.975,0.0,0.12,4.865,423.9715409948323,0.44340279015553513,2.92,0.9361249953942762
random,prm,event+pred150,150.0,20.0,0.0,kinematic,0,200,200,146,0.73,57,122,0.585,760.235,8.435,13126,116.39584983640816,251.0899998305831,126.96327400757582,0.14702444178293195,62.60070001007989,4194.657534246566,4077.0999999999917,221.14432350019342,20.074918528305357,25382.321427394603,27010.348700435992,235.6826853370168,-176.91467890216325,0.435,0.06995000876486301,31.584320440964873,0.41500000000000004,0.349-0.484,177.29999999999941,0.8052838373513854,0.03313536864038247,7.225545759400428,7.63,0.0,0.42,6.465,411.1758160519705,0.5953449031932364,4.185,0.9204017405488569
random,prm,event+pred150,150.0,100.0,0.0,kinematic,0,200,200,146,0.73,57,156,0.485,153.26,4.995,2792,69.44344988733064,140.92230011010543,72.5076775198977,0.43292908396350094,51.216899999417365,4061.9178082191693,3959.6999999999925,114.46384550028597,37.551622261544054,25382.321427394603,27122.933569541496,235.67554848641132,-177.34307885109808,0.38,0.15574999270029366,18.361852680313966,0.515,0.446-0.583,210.80000000000004,0.9274244439241,0.0369153631412039,6.27874813297097,4.51,0.0,0.25,4.375,444.40128318486626,0.429566768239377,3.15,0.9188973066713898
random,visibility,once,0.0,20.0,0.0,kinematic,0,200,200,181,0.905,19,441,0.145,6.0,0.0,0,17.989350031712092,39.927200006786734,18.606462499446934,2.9982250052853487,24.63609998812899,3476.3535911602216,3446.700000000001,43.45804199925624,87.64511709843202,23833.151700863127,23480.723886905,125.880518560097,-177.1092750116747,0.1,10.857400004169904,5.232742240786604,0.855,0.800-0.897,379.70000000000016,0.9995319099578205,0.09167894543344646,3.149492463951017,0.0,0.0,0.0,0.0,0.0,0.013357605039267861,0.0,1.0342331549833652
random,visibility,cycle,0.0,20.0,0.0,kinematic,0,200,200,181,0.905,19,210,0.385,690.975,89.0,4510,843.0160998104839,2571.8733997200616,1047.937064502912,1.2723459487473259,26.753799989819527,3161.546961325966,3150.9999999999995,1129.5427940001537,4.28737116539623,23833.151700863127,23524.415213650856,125.9180274279659,-176.11309355755066,0.17,10.154199990211055,304.8091047848116,0.615,0.546-0.680,266.2,0.9601186355381115,0.07011451675568678,10.601590058483218,0.0,0.0,0.0,4.35,22.152076442846155,0.1933180827337518,0.145,1.0323689738932973
random,visibility,cycle,0.0,100.0,0.0,kinematic,0,200,200,181,0.905,19,248,0.325,140.215,16.225,973,168.14295007498004,527.2422001871746,209.23738449258963,1.2069995407793517,21.159500000067055,3156.132596685082,3147.699999999999,244.23160950027523,18.50516464761775,23833.151700863127,23516.723118807804,125.87106820260513,-179.84787525550792,0.185,10.089300005347468,60.71692962119345,0.675,0.607-0.736,287.00000000000006,0.9602540338806616,0.07042674340467855,9.079125282315777,0.0,0.0,0.0,3.755,45.61586290184309,0.11688500181043779,0.035,1.0326921198936645
random,visibility,cycle+pred50,50.0,20.0,0.0,kinematic,0,200,200,181,0.905,19,183,0.435,707.455,112.745,8317,1027.5097496050876,2831.7061000561807,1262.8237959678518,1.5172403031791428,20.878100011032075,3268.287292817679,3274.6999999999994,1348.4324780000316,3.458985493461201,23840.328454831702,23590.97871423571,125.89464984542582,-176.27566077788504,0.265,10.34369999251794,358.71940816561727,0.565,0.496-0.632,245.39999999999992,0.9672040429462488,0.07033825286642731,10.294212229151581,0.0,0.0,0.0,4.565,29.35294987458759,0.29301974229676797,0.355,1.0295772249944526
random,visibility,cycle+pred50,50.0,100.0,0.0,kinematic,0,200,200,181,0.905,19,209,0.39,143.745,20.605,1726,215.64285003114492,527.6856998971198,245.31018299385323,1.534083052496428,20.488000009208918,3228.0662983425414,3238.6999999999994,281.8068999995012,15.67824057272783,23840.328454831702,23580.611890054468,125.90208860732912,-179.6642244534561,0.225,10.101149993715808,71.27526668526966,0.61,0.541-0.675,257.7,0.9655433484615952,0.07209935168031323,8.93465165973639,0.0,0.0,0.0,3.945,79.37893445738885,0.19409167146676062,0.14,1.030009175983139
random,visibility,cycle+pred150,150.0,20.0,0.0,kinematic,0,200,200,146,0.73,57,186,0.41,721.615,126.7,20543,1091.7905001988402,2737.9862999659963,1273.1291935338231,1.598045879406925,22.24169997498393,3646.575342465751,3553.2999999999984,1362.8020684991498,3.651788011774065,23198.13459348327,23299.46210546413,235.6779176223162,-176.91467890216325,0.205,9.888650005450472,335.34784084746303,0.5900000000000001,0.521-0.656,261.49999999999994,0.9679681039167283,0.06921375089588427,9.30671337466275,0.0,0.0,0.0,4.38,40.83871045603381,0.4817809155912957,1.245,1.0511670468133487
random,visibility,cycle+pred150,150.0,100.0,0.0,kinematic,0,200,200,146,0.73,57,221,0.365,146.98,24.47,3917,234.2377001332352,591.447499813512,264.8355550116685,1.6348615678209968,22.353299980750307,3622.328767123285,3557.5999999999976,303.393993001373,15.312547188536493,23198.13459348327,23231.955694370325,235.663519073863,-176.91467890216379,0.205,10.229649997199886,70.19167927838296,0.635,0.566-0.699,289.3,0.9694350688312605,0.06930673838748719,8.505578085198009,0.0,0.0,0.0,3.535,115.21624348557269,0.31010389688922463,0.62,1.053619108670879
random,visibility,event,0.0,20.0,0.0,kinematic,0,200,200,181,0.905,19,200,0.395,696.675,20.89,3899,226.57054993032943,627.155999885872,269.3007374816807,0.33772412366274274,22.317800001474097,3240.2209944751366,3233.099999999999,351.61102949859924,11.338624661461127,23833.151700863127,23521.349796606988,125.87923385214528,-179.12939818609112,0.18,0.0509000092279166,81.53745905118666,0.605,0.536-0.670,261.2,0.9489736006297639,0.020513296383590146,9.537573819751495,20.805,0.0,0.03,4.495,47.15316847846373,0.15755875680189801,0.14,1.0325446176258226
random,visibility,event,0.0,100.0,0.0,kinematic,0,200,200,181,0.905,19,238,0.33,140.255,7.21,838,87.58649999799673,228.3414999837987,101.78581799918902,0.6132339797356918,19.762499985517934,3116.685082872928,3120.2,135.9443440004543,28.861247587305296,23833.151700863127,23509.458618535024,125.879994048636,-179.84787525550792,0.185,8.210600004531443,31.556324467389622,0.6699999999999999,0.602-0.731,267.1,0.9737856112507267,0.020986731179750855,7.557572626534159,7.175,0.0,0.02,3.81,58.14286999767205,0.10237979053028154,0.05,1.033045096753137
random,visibility,event+pred50,50.0,20.0,0.0,kinematic,0,200,200,181,0.905,19,180,0.42,719.92,22.245,6846,236.687600161531,526.7823000904173,269.58016898090136,0.3306693879659441,20.137599989539012,3438.121546961324,3435.599999999998,354.0248164985678,11.763819872765398,23840.328454831702,23608.205855434848,125.91777429822301,-175.12186582767728,0.245,0.0609499984420836,75.85922459634014,0.5800000000000001,0.511-0.646,246.8999999999999,0.9442573612189441,0.021722696824144416,9.042737442233143,21.95,0.0,0.175,4.56,69.61170421032892,0.2145170863483213,0.22,1.028845806755961
random,visibility,event+pred50,50.0,100.0,0.0,kinematic,0,200,200,181,0.905,19,209,0.4,146.075,8.88,1527,107.09129997121636,259.6419000183232,117.40712800936308,0.7199218814780021,19.670900015626103,3358.67403314917,3357.099999999999,153.88990899999044,26.125041902068585,23840.328454831702,23586.1956365405,125.90755655351617,-176.88676865839543,0.24,8.640199986984953,34.14520829853784,0.6,0.531-0.665,271.50000000000006,0.9746325154055877,0.02268507510893223,7.73952008781274,8.685,0.0,0.135,3.98,103.67449977937272,0.16513353523692845,0.065,1.0298121454634437
random,visibility,event+pred150,150.0,20.0,0.0,kinematic,0,200,200,146,0.73,57,204,0.38,750.53,17.595,17344,183.78899988601916,448.65039954311214,208.18646652202005,0.248567719023861,21.234999992884696,4023.4246575342404,3898.899999999994,298.61515449985745,15.079981805198885,23198.13459348327,23408.812698771515,235.69469816936825,-176.91467890216325,0.215,0.07180000829976052,52.36817030010756,0.62,0.551-0.684,288.4999999999997,0.9112256606680481,0.02541406455178055,8.138346224739347,16.785,0.0,0.49,4.365,124.97547657051136,0.31425244566413224,0.765,1.0463981005203111
random,visibility,event+pred150,150.0,100.0,0.0,kinematic,0,200,200,146,0.73,57,223,0.36,149.54,8.32,3327,97.1014000242576,228.41580022941343,105.36715401438414,0.641315389772088,20.84179999656044,3814.6575342465712,3720.1999999999966,145.53794800114702,30.623448911747758,23198.13459348327,23300.79301109148,235.6561964404079,-176.91467890216379,0.215,7.655800000065938,27.679649801925116,0.64,0.571-0.703,308.50000000000006,0.9648379370036655,0.027341622133487706,7.24347898163063,7.745,0.0,0.38,3.555,169.64226309468904,0.22826421305659075,0.35,1.0509167051998034
