scenario,planner,replan_policy,prediction_horizon_ms,replan_period_ms,planning_clearance_mm,trial,seed,status,completed,failed_plans,time_to_goal_ms,simulated_duration_ms,wall_time_ms,realtime_factor,planned_path_length_mm,travelled_distance_mm,straight_line_mm,mean_final_error_mm,max_final_error_mm,max_final_speed_mmps
random-s0-0088,prm,cycle,50.0,100.0,30.0,1,0,completed,True,0,3400.000000000002,3400.000000000002,392.5248000014108,8.661873084166356,35982.972404635555,35531.33802183908,32590.85759992429,58.72361621889515,59.64144987233104,
random-s0-0088,prm,cycle,150.0,20.0,30.0,1,0,completed,True,0,4279.999999999996,4279.999999999996,3987.488899991149,1.0733572198807868,36490.00032539376,39896.38841846585,32590.85759992429,58.64645381536667,59.40579837855738,
random-s0-0088,prm,cycle,150.0,100.0,30.0,1,0,completed,True,0,3940.000000000002,3940.000000000002,1018.9611999958288,3.866683049380223,36490.00032539376,41327.14800334522,32590.85759992429,58.89123463018856,59.94326694564067,
random-s0-0088,prm,event,0.0,20.0,30.0,1,0,completed,True,0,5159.999999999978,5159.999999999978,700.5375000007916,7.3657727102319965,35883.17324589286,39574.15045255266,32590.85759992429,58.99545819335058,59.91450053008907,
random-s0-0088,prm,event,0.0,100.0,30.0,1,0,completed,True,0,3400.000000000002,3400.000000000002,167.83180000493303,20.258377732349093,35883.17324589286,34382.106191843544,32590.85759992429,58.99539068505037,59.66095977315863,
random-s0-0088,prm,event,50.0,20.0,30.0,1,0,completed,True,0,5919.999999999962,5919.999999999962,450.690499987104,13.13540001435432,35982.972404635555,37855.23425022995,32590.85759992429,58.97853860184424,59.40579837855738,
random-s0-0088,prm,event,50.0,100.0,30.0,1,0,completed,True,0,4739.999999999986,4739.999999999986,214.38730000227224,22.10951861397456,35982.972404635555,39236.02027988478,32590.85759992429,58.72354486583338,59.47333404093556,
random-s0-0088,prm,event,150.0,20.0,30.0,1,0,completed,True,0,4899.999999999984,4899.999999999984,345.4345000063768,14.185033631294871,36490.00032539376,38947.993721963096,32590.85759992429,59.08094662103225,59.76122720124697,
random-s0-0088,prm,event,150.0,100.0,30.0,1,0,completed,True,0,6119.999999999956,6119.999999999956,260.53730001149233,23.489918716936124,36490.00032539376,43683.7237760589,32590.85759992429,58.61427656001891,59.40579837855738,
random-s0-0088,visibility,once,0.0,20.0,30.0,1,0,completed,True,0,3840.000000000003,3840.000000000003,84.49310000287369,45.44749807817918,32603.453914069672,32248.6745896328,32590.85759992429,58.95536323010282,59.424611256071216,
random-s0-0088,visibility,cycle,0.0,20.0,30.0,1,0,completed,True,0,4859.9999999999845,4859.9999999999845,5675.641399997403,0.8562908854675365,32603.453914069672,32380.427705310427,32590.85759992429,58.79794668495154,59.42075901855912,
random-s0-0088,visibility,cycle,0.0,100.0,30.0,1,0,completed,True,0,5019.99999999998,5019.99999999998,918.7086000019916,5.464191801392843,32603.453914069672,32373.744416131824,32590.85759992429,58.81421465303339,59.7264807591184,
random-s0-0088,visibility,cycle,50.0,20.0,30.0,1,0,completed,True,0,4819.999999999985,4819.999999999985,3947.983799997018,1.220876336930163,32615.12197217214,32580.23311597764,32590.85759992429,59.07605000943769,59.40579837855738,
