scenario,planner,replan_policy,prediction_horizon_ms,replan_period_ms,planning_clearance_mm,trial,seed,replan_count,replan_failures,replan_attempts,blocked_ms,blocked_time_pct,any_replan_failure,rebuild_calls,check_calls,planner_calls,planning_time_ms_total,planning_time_ms_initial,planning_time_ms_max_call,planning_time_ms_p95_call,planning_time_ms_rebuild,planning_time_ms_check,replans_active_blocked,replans_route_blocked,replans_route_finished,replans_scheduled,replans_other,direct_path_switches,path_shift_mm_mean,path_shift_mm_max,heading_change_rad_per_m,sharp_turns
random-s0-0000,visibility,cycle,150.0,20.0,30.0,1,0,43,98,141,1960.0,69.50354609929073,True,49,640,689,935.5496999924072,17.018599988659844,159.12149999348912,14.866199999232776,868.1363999494351,67.41330004297197,0,0,0,43,0,4,50.2082262796651,453.6145854450224,0.1652099259026472,0
random-s0-0000,visibility,cycle,150.0,100.0,30.0,1,0,10,17,27,1700.0,59.02777777777775,True,16,126,142,246.0724000557093,16.75690000411123,35.1063999987673,16.6942000068957,226.27330000977963,19.799100045929663,0,0,0,10,0,4,148.80781939328625,425.87113575644935,0.1612014212824982,0
random-s0-0000,visibility,event,0.0,20.0,30.0,1,0,8,5,13,100.0,3.649635036496348,True,14,689,703,292.43239981587976,26.951500025461428,45.53660000965465,0.0790000049164518,261.4619000523817,30.970499763498083,8,0,0,0,0,4,65.59190026555642,183.78495713224785,0.0525201422688376,0
random-s0-0000,visibility,event,0.0,100.0,30.0,1,0,2,0,2,0.0,0.0,False,8,135,143,65.28090014762711,18.63989999401383,21.256499996525235,0.0530999968759715,60.430199999245815,4.850700148381293,2,0,0,0,0,2,70.02654932513074,78.16644822577987,0.0286435490373042,0
random-s0-0000,visibility,event,50.0,20.0,30.0,1,0,13,10,23,200.0,6.849315068493145,True,19,697,716,269.7790999227436,19.03699999093078,18.966099989484064,0.0933999981498345,246.3396999955876,23.43939992715605,13,0,0,0,0,4,92.57574585799316,409.91795931945353,0.1117482032794154,0
random-s0-0000,visibility,event,50.0,100.0,30.0,1,0,5,2,7,200.0,6.849315068493148,True,11,136,147,124.80609986232594,22.26549998158589,22.125099989352748,0.1923999952850863,119.52629998268094,5.279799879644997,5,0,0,0,0,3,205.17215657497485,265.43330267922573,0.0901952853682472,0
random-s0-0000,visibility,event,150.0,20.0,30.0,1,0,8,63,71,1260.0,40.90909090909088,True,14,709,723,196.3361002271995,19.03249998576939,24.252700008219108,0.1119000080507248,165.1836999808438,31.152400246355683,6,0,0,0,2,4,167.53266973649667,453.6550795686074,0.1238255941028718,0
random-s0-0000,visibility,event,150.0,100.0,30.0,1,0,7,8,15,800.0,26.14379084967319,True,13,131,144,143.6033000209136,18.622800023877065,19.50770000985358,15.772099999594502,137.82080002420116,5.782499996712431,7,0,0,0,0,4,160.34690155738093,425.87113575644935,0.1628572078761734,0
random-s0-0001,voronoi,once,0.0,20.0,30.0,1,0,0,0,0,0.0,0.0,False,6,0,6,13.982300006318836,13.982300006318836,7.047199993394315,7.047199993394315,13.982300006318836,0.0,0,0,0,0,0,0,0.0,0.0,0.1169808850708649,0
random-s0-0001,voronoi,cycle,0.0,20.0,30.0,1,0,85,21,106,420.0,14.093959731543613,True,91,679,770,712.5103000580566,13.896000004024245,28.726900010951795,6.987799992202781,679.8166999360546,32.69360012200195,0,0,0,85,0,7,74.5646405963138,750.0,0.6935167066177873,3
random-s0-0001,voronoi,cycle,0.0,100.0,30.0,1,0,12,3,15,300.0,9.93377483443708,True,18,136,154,100.09559994796292,15.967200000886804,9.824299995671026,6.287700001848862,93.65929997875357,6.436299969209358,0,0,0,12,0,6,189.54153995855856,540.218994366662,0.2678401447711819,0
random-s0-0001,voronoi,cycle,50.0,20.0,30.0,1,0,121,14,135,280.0,8.917197452229292,True,127,666,793,809.4891996588558,20.588600003975444,9.787799994228408,6.240100003196858,774.366199868382,35.12299979047384,0,0,0,121,0,6,56.14813131810013,750.0,0.7273078035090016,4
random-s0-0001,voronoi,cycle,50.0,100.0,30.0,1,0,34,5,39,500.0,13.661202185792343,True,40,131,171,234.72449992550537,19.16209999762941,7.575199997518212,6.496499991044402,228.4452999883797,6.279199937125668,0,0,0,34,0,8,200.8898318880242,718.543101210328,0.7832364193871167,5
random-s0-0001,voronoi,cycle,150.0,20.0,30.0,1,0,200,5,205,100.0,2.890173410404622,True,206,647,853,1262.0104998495665,17.39580000867136,71.28730000113137,7.024399994406849,1230.8901999203954,31.12029992917087,0,0,0,200,0,19,93.35026791006598,750.0000000000001,2.3231019402622537,18
random-s0-0001,voronoi,cycle,150.0,100.0,30.0,1,0,43,3,46,300.0,8.823529411764701,True,49,131,180,240.71970011573285,18.16469998448156,7.347000006120652,6.643300002906472,234.4110000267392,6.308700088993646,0,0,0,43,0,10,306.50448807037924,750.0,1.5396151184448743,14
random-s0-0001,voronoi,event,0.0,20.0,30.0,1,0,4,4,8,80.0,2.5477707006369408,True,10,763,773,74.49039991479367,12.101399988750927,6.84940000064671,0.0795999949332326,36.24019997369032,38.25019994110335,4,0,0,0,0,6,359.9031605297652,600.9355527949205,0.279808463362155,2
random-s0-0001,voronoi,event,0.0,100.0,30.0,1,0,3,1,4,100.0,3.2051282051282035,True,9,149,158,40.78510000545066,13.658299983944744,7.618300005560741,0.120900003821589,33.23659999296069,7.548500012489967,3,0,0,0,0,5,281.12875862579693,423.4062150364137,0.1360667634420682,0
random-s0-0001,voronoi,event,50.0,20.0,30.0,1,0,9,7,16,140.0,4.166666666666663,True,15,788,803,79.77100001880899,18.21869998821057,6.923199995071627,0.0760000111768022,38.58229998149909,41.1887000373099,8,1,0,0,0,6,88.98275621871319,299.0487802059607,0.2343475666147755,0
random-s0-0001,voronoi,event,50.0,100.0,30.0,1,0,13,3,16,300.0,7.462686567164176,True,19,155,174,69.88439985434525,21.42610000737477,7.528100002673455,6.137899996247143,61.38390001433436,8.500499840010889,10,3,0,0,0,8,264.9415194348321,747.7949295079329,0.6663704188578188,3
