scenario,planner,replan_policy,prediction_horizon_ms,replan_period_ms,planning_clearance_mm,trial,seed,collision_episodes,obstacle_collision_episodes,robot_collision_episodes,obstacle_episodes_obstacle_initiated,obstacle_episodes_robot_initiated,minimum_clearance_mm,minimum_robot_clearance_mm,minimum_obstacle_clearance_mm,contact_time_ms
random-s0-0001,prm,cycle,0.0,100.0,30.0,1,0,0,0,0,0,0,31.03244017178153,31.03244017178153,31.48811617842188,0.0
random-s0-0001,prm,cycle,50.0,20.0,30.0,1,0,0,0,0,0,0,94.78875779008808,242.5780588332728,94.78875779008808,0.0
random-s0-0001,prm,cycle,50.0,100.0,30.0,1,0,0,0,0,0,0,62.91588555612495,285.5868915940905,62.91588555612495,0.0
random-s0-0001,prm,cycle,150.0,20.0,30.0,1,0,0,0,0,0,0,52.07477484033498,285.58689159409045,52.07477484033498,0.0
random-s0-0001,prm,cycle,150.0,100.0,30.0,1,0,1,0,1,0,0,-74.07783080999585,-74.07783080999585,140.49531249940247,39.99999999999991
random-s0-0001,prm,event,0.0,20.0,30.0,1,0,1,0,1,0,0,-12.69072583051863,-12.69072583051863,31.143665635299755,40.0
random-s0-0001,prm,event,0.0,100.0,30.0,1,0,1,0,1,0,0,-2.2991035332256047,-2.2991035332256047,31.143665635299698,40.0
random-s0-0001,prm,event,50.0,20.0,30.0,1,0,0,0,0,0,0,31.143665635299755,122.84368463047002,31.143665635299755,0.0
random-s0-0001,prm,event,50.0,100.0,30.0,1,0,1,0,1,0,0,-71.44745536162017,-71.44745536162017,31.143665635299698,40.0
random-s0-0001,prm,event,150.0,20.0,30.0,1,0,0,0,0,0,0,41.54778184702033,186.00799968291037,41.54778184702033,0.0
random-s0-0001,prm,event,150.0,100.0,30.0,1,0,0,0,0,0,0,47.390568305254334,285.5868915940905,47.390568305254334,0.0
random-s0-0001,visibility,once,0.0,20.0,30.0,1,0,2,1,1,0,1,-147.90576513644925,-55.785052412195625,-147.90576513644925,160.0
random-s0-0001,visibility,cycle,0.0,20.0,30.0,1,0,0,0,0,0,0,30.49592801661393,285.58689159409045,30.49592801661393,0.0
random-s0-0001,visibility,cycle,0.0,100.0,30.0,1,0,0,0,0,0,0,31.696206900207898,285.5868915940905,31.696206900207898,0.0
random-s0-0001,visibility,cycle,50.0,20.0,30.0,1,0,0,0,0,0,0,30.49017085162174,299.5567872690765,30.49017085162174,0.0
