planner,prediction_horizon_ms,replan_period_ms,scenarios,cycle_over_event_planning_time_median,collision_free_event_%,collision_free_cycle_%,only_event_safe,only_cycle_safe,mcnemar_exact_p,planning_time_wilcoxon_p
voronoi,0.0,100.0,191,1.9449654146923288,72.77486910994764,70.15706806282722,15,10,0.42435622215270996,1.7994372908008338e-26
voronoi,0.0,200.0,191,1.3233696451765122,65.96858638743456,63.35078534031413,12,7,0.359283447265625,2.9544020276545813e-15
voronoi,20.0,20.0,191,4.711943004258901,89.00523560209425,85.86387434554975,14,8,0.28627872467041016,4.7017844993751096e-32
voronoi,20.0,50.0,191,3.214482775575002,84.81675392670157,83.24607329842932,12,9,0.6636238098144531,3.0814663489197897e-31
voronoi,20.0,100.0,191,2.224711691225436,82.19895287958116,80.10471204188482,15,11,0.557197093963623,1.6435665151475693e-28
voronoi,20.0,200.0,191,1.6145511040711717,73.82198952879581,69.63350785340315,17,9,0.16863754391670227,1.663321494096527e-21
voronoi,50.0,20.0,191,5.680958811945301,87.95811518324608,90.57591623036649,8,13,0.38331031799316406,3.446392041201732e-32
voronoi,50.0,50.0,191,3.4644814493007687,89.52879581151832,90.0523560209424,9,10,1.0,7.033791077331163e-32
voronoi,50.0,100.0,191,2.7486916626806543,84.81675392670157,86.38743455497382,9,12,0.6636238098144531,8.578404694666791e-30
voronoi,50.0,200.0,191,1.7441607603362328,79.05759162303664,80.10471204188482,7,9,0.803619384765625,2.1611242937971067e-25
voronoi,100.0,20.0,191,5.38074071570973,89.52879581151832,91.62303664921467,4,8,0.3876953125,2.126621091385391e-32
voronoi,100.0,50.0,191,3.5072100037208065,86.91099476439791,89.52879581151832,8,13,0.38331031799316406,1.3449653228425631e-31
voronoi,100.0,100.0,191,2.58238408148543,84.81675392670157,90.0523560209424,3,13,0.021270751953125,1.3698941841059834e-30
voronoi,100.0,200.0,191,1.830770181142521,76.96335078534031,80.6282722513089,7,14,0.18924713134765625,3.88462254796293e-26
voronoi,150.0,20.0,191,5.069253890925651,92.14659685863874,96.33507853403141,0,8,0.0078125,7.567055884851316e-33
voronoi,150.0,50.0,191,3.795853847684522,90.0523560209424,95.28795811518324,0,10,0.001953125,4.5581244807513313e-32
voronoi,150.0,100.0,191,2.7497100902835903,87.43455497382199,92.14659685863874,2,11,0.0224609375,2.199536937214539e-31
voronoi,150.0,200.0,191,1.8268634902086482,77.4869109947644,84.29319371727748,5,18,0.010622024536132812,4.1074126387312454e-26
voronoi,200.0,20.0,191,5.4668930227606705,91.62303664921467,94.76439790575915,3,9,0.14599609375,7.218589205616903e-33
voronoi,200.0,50.0,191,3.882193289255954,91.62303664921467,94.24083769633508,2,7,0.1796875,2.0293709638011013e-32
voronoi,200.0,100.0,191,2.5825951982061026,86.91099476439791,91.62303664921467,2,11,0.0224609375,1.4085427506675664e-31
