scenario,planner,replan_policy,prediction_horizon_ms,replan_period_ms,backend,physics_validation_passes,runs,scenario_count,completed_runs,completion_rate,failed_plans,collision_episodes,collision_free_rate,planner_calls_mean,replans_mean,replan_failures,planning_time_ms_median,planning_time_ms_p95,planning_time_ms_mean,call_time_ms_median,call_time_ms_max,time_to_goal_ms_mean,simulated_duration_ms_mean,wall_time_ms_mean,realtime_factor_mean,planned_path_length_mm_mean,travelled_distance_mm_mean,mean_final_error_mm,minimum_clearance_mm,near_miss_free_rate,call_time_ms_p95_median,planning_ms_per_sim_s_mean,path_efficiency_mean
random,prm,cycle,0.0,50.0,kinematic,0,200,200,195,0.975,5,81,0.685,136.27,11.3,647,66.65903900034209,263.1821020008829,93.70335526497854,0.5149253550799806,29.846683999949164,2645.435897435896,2638.6499999999987,116.17245613000478,32.51813326858094,12601.626096269456,12267.615396497298,98.85236848572308,-168.46340094805333,0.41,6.0109150000471345,32.79839964016029,0.9935912145436052
random,prm,cycle,0.0,100.0,kinematic,0,200,200,195,0.975,5,90,0.65,69.14,5.655,383,36.46222250000619,144.98281400005908,49.76555351492493,0.5437738352146122,19.559532000130275,2669.4358974358984,2662.1000000000004,65.19970371998568,55.974972911192026,12601.626096269456,12297.839907572881,98.70164751728433,-172.34506300621257,0.405,5.955511500019384,17.21541901390045,0.9914623038537002
random,prm,cycle,0.0,200.0,kinematic,0,200,200,195,0.975,5,116,0.6,35.6,2.675,221,22.848069498934365,73.18343500014635,26.495714954954792,0.6298033648682896,14.737123000031715,2717.230769230769,2709.7,39.65841794001392,87.96921463776235,12601.626096269456,12353.76293801547,98.70229260204336,-178.03403381613947,0.42,6.1344394999878205,9.03061046046801,0.9879435861926897
random,prm,cycle+pred20,20.0,20.0,kinematic,0,200,200,195,0.975,5,40,0.83,343.665,34.915,1877,201.66750449982374,702.3201099973448,267.01119386522294,0.6073349617886079,24.834440999939034,2720.7179487179505,2711.8000000000015,303.2455292149996,14.072231797493444,12671.870299176455,12443.639471058144,98.71930890327721,-166.6512137657964,0.445,6.013453500031574,90.3222517664156,0.9808103162221192
random,prm,cycle+pred20,20.0,50.0,kinematic,0,200,200,195,0.975,5,52,0.795,138.91,13.895,861,77.06420100038258,285.4804869982672,110.14659314495363,0.57518975156828,20.215444000314164,2731.743589743588,2722.8999999999983,133.31313420500408,30.082132284962668,12671.870299176455,12456.974006419405,98.86791803687034,-168.5116120390586,0.48,6.050770499768987,36.824422218886845,0.9805086786476157
random,prm,cycle+pred20,20.0,100.0,kinematic,0,200,200,195,0.975,5,75,0.71,70.12,6.6,436,40.10117500024535,158.5834010002145,56.35097240993332,0.6051914230712396,24.25760200003424,2753.23076923077,2744.3000000000006,72.23715037499346,53.60818330157711,12671.870299176455,12481.976726985838,98.72366672453414,-168.9597393272115,0.46,6.00546250007028,18.628523926254353,0.9796009088255133
random,prm,cycle+pred20,20.0,200.0,kinematic,0,200,200,195,0.975,5,98,0.63,36.125,3.18,246,22.519863500406245,74.51006799919924,30.068096229972525,0.6490529142758564,19.437910999840824,2776.1025641025635,2767.0999999999995,43.35626779499535,84.01668401215652,12671.870299176455,12513.73041040723,98.71591230140356,-169.19897171016748,0.44,6.131668499961052,9.877815201376592,0.9775262386706433
random,prm,cycle+pred50,50.0,20.0,kinematic,0,200,200,194,0.97,6,41,0.84,349.68,42.135,2563,233.31733050088133,908.7497690002238,312.1195087750624,0.6650263345556274,24.49153000009119,2811.1340206185578,2806.500000000002,349.6478158299942,13.146831899947326,12772.848148267873,12630.41316742973,108.68291590516642,-167.81725743147172,0.585,5.972637000013492,100.45127551648093,0.9682879311892573
random,prm,cycle+pred50,50.0,50.0,kinematic,0,200,200,194,0.97,6,41,0.825,140.315,16.12,1000,97.23933699922327,336.41521500010185,123.38638669494173,0.6866686171912433,22.536564999882103,2802.371134020617,2796.4499999999985,146.74452972999575,28.606442356478645,12772.848148267873,12598.098795199707,108.8361176292321,-171.41027337687433,0.56,6.026752000025226,40.321365336300346,0.9707853498705035
random,prm,cycle+pred50,50.0,100.0,kinematic,0,200,200,194,0.97,6,49,0.795,71.0,7.695,534,46.86874800006535,172.04334399957588,62.67588093006111,0.6771731742788877,22.67758900006811,2811.649484536083,2804.5000000000005,78.97378798500824,50.5825356242428,12772.848148267873,12613.354526661982,108.6860415833387,-175.0491625856571,0.56,6.029714000078457,20.327213494588143,0.9703301240911935
