scenario,planner,trial,seed,status,completed,timed_out,robot_count,planner_calls,failed_plans,failed_robots,planning_time_ms_total,planning_time_ms_mean,simulated_duration_ms,wall_time_ms,realtime_factor,ticks,robot_collision_episodes,obstacle_collision_episodes,collision_episodes,planned_path_length_mm,travelled_distance_mm,mean_final_error_mm,max_final_error_mm,minimum_clearance_mm,dt_ms,backend,physics_validation_passed,missed_frames,max_frame_gap_ms,max_final_speed_mmps,evidence_directory,error,scenario_set,replan_policy,replan_count,replan_failures,planning_time_ms_initial,planning_time_ms_max_call,time_to_goal_ms,prediction_horizon_ms,planning_time_ms_p95_call,straight_line_mm
random-s0-0074,prm,1,0,completed,True,False,3,357,0,,6.097788000715809,0.017080638657467253,2199.9999999999973,20.67167800032621,106.42580636004877,132,0,0,0,9610.029207965576,9433.537293958165,58.830638002471176,59.56978649117168,134.45694098331325,20.0,kinematic,False,0,0.0,,,,random,event,0,0,0.0863940003910102,0.06728300013492117,2199.9999999999973,0.0,0.02568199988672859,9610.029207965576
random-s0-0074,prm,1,0,completed,True,False,3,357,0,,12.476839997361822,0.034949131645271206,2199.9999999999973,27.217303999805154,80.83093020586267,132,0,0,0,9610.029207965576,9455.121024114957,59.04407349851446,59.56978649117168,134.45694098331325,20.0,kinematic,False,0,0.0,,,,random,event,1,25,0.047282000195991714,5.260829999770067,2199.9999999999973,250.0,0.05879199989067274,9610.029207965576
random-s0-0074,visibility,1,0,completed,True,False,3,3,0,,0.04931700004817685,0.01643900001605895,2180.0000000000014,2.8200400001878734,773.0386802509071,109,0,0,0,9610.029207965576,9432.183167267902,59.282013565891276,59.765624848118485,134.46009301038407,20.0,kinematic,False,0,0.0,,,,random,once,0,0,0.04931700004817685,0.019299000086903106,2180.0000000000014,0.0,0.019299000086903106,9610.029207965576
random-s0-0074,visibility,1,0,completed,True,False,3,357,0,,19.545989996913704,0.05475067226026248,2199.9999999999973,35.322683000231336,62.28292454414035,132,0,0,0,9610.029207965576,9433.537293958165,58.830638002471176,59.56978649117168,134.45694098331325,20.0,kinematic,False,0,0.0,,,,random,cycle,0,0,0.2268769999318465,0.09122599976763013,2199.9999999999973,0.0,0.07535999975516461,9610.029207965576
random-s0-0074,visibility,1,0,completed,True,False,3,361,0,,154.71786699481527,0.4285813490161088,2266.6666666666633,170.74435700033064,13.275206902810112,136,0,0,0,9610.029207965576,9436.582344457885,59.279253422084885,59.56978649117168,134.45694098331325,20.0,kinematic,False,0,0.0,,,,random,cycle,16,28,0.1637609998397238,8.982014000139316,2266.6666666666633,250.0,0.08485099988320144,9610.029207965576
random-s0-0074,visibility,1,0,completed,True,False,3,357,0,,6.1648710029658105,0.017268546226794988,2199.9999999999973,21.301533000041672,103.2789518010602,132,0,0,0,9610.029207965576,9433.537293958165,58.830638002471176,59.56978649117168,134.45694098331325,20.0,kinematic,False,0,0.0,,,,random,event,0,0,0.05888500027140253,0.0642929999230546,2199.9999999999973,0.0,0.024603999918326735,9610.029207965576
random-s0-0074,visibility,1,0,completed,True,False,3,365,0,,15.519579004376283,0.04251939453253776,2333.33333333333,30.450167000253714,76.627932231501,140,0,0,0,9610.029207965576,9440.450385885826,59.27356421960027,59.56978649117168,134.45694098331325,20.0,kinematic,False,0,0.0,,,,random,event,1,20,0.04711300061899237,8.478787000058219,2333.33333333333,250.0,0.053714999921794515,9610.029207965576
random-s0-0075,voronoi,1,0,completed,True,False,3,3,0,,0.09944000021278043,0.03314666673759348,2520.000000000002,3.20997599965267,785.052598609047,126,0,0,0,12081.033652493912,11905.683381518815,58.45009032503421,59.28534456986595,200.5126153169458,20.0,kinematic,False,0,0.0,,,,random,once,0,0,0.09944000021278043,0.04362400022728252,2520.000000000002,0.0,0.04362400022728252,12081.033652493912
random-s0-0075,voronoi,1,0,completed,True,False,3,391,0,,57.40903899732075,0.14682618669391495,2516.6666666666624,75.33113199997388,33.408055870812284,151,0,0,0,12081.033652493912,12080.76411674012,59.22871878309206,59.82227712459884,281.6900184298159,20.0,kinematic,False,0,0.0,,,,random,cycle,10,0,0.08449099959761952,7.199172000127874,2516.6666666666624,0.0,0.04919899993183208,12081.033652493912
random-s0-0075,voronoi,1,0,completed,True,False,3,426,0,,187.56755799495295,0.4402994319130351,2949.9999999999945,206.6741829999046,14.27367442406368,177,0,0,0,13632.077727010872,13545.751196879686,59.356552527379144,59.884564550518014,196.55285362623295,20.0,kinematic,False,0,0.0,,,,random,cycle,50,9,3.9448120000997733,4.604267999638978,2949.9999999999945,250.0,4.0009019999160955,12081.033652493912
