scenario,planner,replan_policy,backend,physics_validation_passes,runs,scenario_count,completed_runs,completion_rate,failed_plans,collision_episodes,collision_free_rate,planner_calls_mean,replans_mean,replan_failures,planning_time_ms_median,planning_time_ms_p95,planning_time_ms_mean,call_time_ms_median,call_time_ms_max,time_to_goal_ms_mean,simulated_duration_ms_mean,wall_time_ms_mean,realtime_factor_mean,planned_path_length_mm_mean,travelled_distance_mm_mean,mean_final_error_mm,minimum_clearance_mm,near_miss_free_rate,call_time_ms_p95_median,planning_ms_per_sim_s_mean,path_efficiency_mean
22.11.24.08.2026~perturbed,prm,once,kinematic,0,20,20,16,0.8,4,5,0.75,3.0,0.0,0,19.02993499970762,22.024983000846987,18.340921000049093,6.343311666569207,8.330664999903092,4137.499999999995,4100.999999999997,22.174049450018174,187.63985108659412,11367.15029164275,10747.556746833734,205.17294887406865,-122.70975134408494,0.1,6.596361999982037,4.554887373279959,0.696074845793849
22.11.24.08.2026~perturbed,prm,cycle,kinematic,0,20,20,16,0.8,4,2,0.9,363.8,76.0,124,503.6526704998323,1017.0883580008194,548.9866201997302,1.3715454536870864,21.945979000065563,2568.749999999996,2549.999999999996,564.8580781999271,5.228732795318267,11367.15029164275,8348.292732844393,205.39085614081873,-62.84177412465375,0.0,6.388965500036647,208.2830105536505,0.9074576179563181
22.11.24.08.2026~perturbed,prm,cycle+pred250,kinematic,0,20,20,16,0.8,4,2,0.9,380.2,65.15,1061,440.2571854991493,1070.1856589953422,463.6704710501135,1.0910500472827278,29.086086000006617,2717.7083333333285,2624.9999999999955,480.97159705005197,6.273988819723848,11367.15029164275,9341.896952779794,205.37556039045984,-71.91840635153017,0.0,6.007035000038741,172.03243708583034,0.8275007517051863
22.11.24.08.2026~perturbed,prm,event,kinematic,0,20,20,16,0.8,4,4,0.8,386.35,3.2,342,44.70954600174082,105.29278600188263,50.22828934991139,0.11434661818768307,14.954666999983601,2762.499999999995,2734.166666666662,64.67481319994022,47.224790433578924,11367.15029164275,8631.292147527443,205.2786319506892,-158.0408175646608,0.0,0.03859599974020966,18.66534274817822,0.8793396822539152
22.11.24.08.2026~perturbed,prm,event+pred250,kinematic,0,20,20,16,0.8,4,1,0.95,422.5,1.8,534,41.38862850231817,108.17985599760505,40.817472399453436,0.08254925214284758,14.633448000040516,3409.3749999999927,3188.333333333327,56.56424594997134,60.98498448780629,11367.15029164275,11117.277806673856,205.3863910511571,-5.345864600135485,0.0,0.05336400022315502,13.393215470610699,0.7421633389820292
22.11.24.08.2026~perturbed,visibility,once,kinematic,0,20,20,16,0.8,4,76,0.0,3.0,0.0,0,33.716781000066476,64.37831400035066,33.447110550036996,11.238927000022159,22.975881000093068,3562.500000000002,3465.0000000000023,36.7502917499678,97.975635518286,6851.821937220906,6655.314776492698,205.26662037836985,-123.60939864481415,0.0,11.44368499990378,9.805815646153963,1.1013416021793851
22.11.24.08.2026~perturbed,visibility,cycle,kinematic,0,20,20,16,0.8,4,58,0.0,480.3,184.7,913,2109.313088504905,3377.812280008129,2159.6772913513405,4.2965214025673175,44.9121940000623,3559.3749999999923,3463.333333333326,2181.891501049995,1.7731575332697709,6851.821937220906,6702.353871221492,205.54741470758626,-166.292272349186,0.0,11.353103999908853,612.5556545546873,1.0948342709970826
22.11.24.08.2026~perturbed,visibility,cycle+pred250,kinematic,0,20,20,16,0.8,4,61,0.0,503.65,176.3,1775,1860.5362894982136,4320.357987999159,2051.043216048606,3.664895666037018,38.22692299991104,3680.2083333333253,3559.999999999992,2074.4370812500847,1.9213698188824313,6851.821937220906,6860.737069255471,205.41900398857274,-174.89198407193464,0.0,11.053272500021194,566.2805796187429,1.073865802475178
22.11.24.08.2026~perturbed,visibility,event,kinematic,0,20,20,16,0.8,4,54,0.0,489.8,39.5,879,397.9109254962623,975.9651239992309,470.8739061991082,0.9016328376024971,22.740634999991016,3599.9999999999923,3495.8333333333258,489.0891651499487,8.18616103616368,6851.821937220906,6718.8540243224925,205.45852347455016,-120.59048209776128,0.0,10.734893000062584,131.4962604011412,1.0927982180552895
22.11.24.08.2026~perturbed,visibility,event+pred250,kinematic,0,20,20,16,0.8,4,58,0.0,493.3,36.8,1260,354.3904524976824,795.6818000034218,446.6071263499316,0.8795585521977002,26.630183000179386,3698.9583333333253,3574.999999999992,465.17173470003854,8.670489990682297,6851.821937220906,6773.173435116818,205.39978087999117,-165.61984146018386,0.0,10.531102500181078,123.23789258665605,1.0851557163057985
crowded,voronoi,once,kinematic,0,1,1,1,1.0,0,1,0.0,3.0,0.0,0,14.953483000226697,14.953483000226697,14.953483000226697,4.984494333408899,5.032217000007222,9979.999999999876,9979.999999999876,23.647338000046147,422.03481846372733,22854.683707277938,21713.968751648077,58.559378754345495,-68.28004262027912,0.0,5.032217000007222,1.4983449900026937,0.18645759889352134
crowded,voronoi,cycle,kinematic,0,1,1,1,1.0,0,0,1.0,558.0,253.0,2,1289.1908830015382,1289.1908830015382,1289.1908830015382,2.310377926526054,6.879166000089754,3533.3333333333258,3533.3333333333258,1312.8417760003686,2.691362659175719,22854.683707277938,12816.421613201037,58.63586496019844,1.3711680940215558,0.0,5.1950160000160395,364.86534424571914,0.3159020979546286
