planner,policy,pred,period,n,cf,coll_prob_ci,completed,contact_ms,replans,plan_ms,rebuild_share,check_ms,rebuild_ms,blocked,later,finished,other,shift,turn_per_m,sharp,min_rr,min_ro,ttg,eff
prm,event,150.0,20,146,60.273972602739725,32-48,100.0,167.260273972602,9.424657534246576,96.15242700465387,0.7781239667907482,0.027873431412187524,5.00565965275734,8.527397260273972,0.4863013698630137,0.0,0.410958904109589,427.20694207030294,0.6347012724630345,4.705479452054795,111.98529780800114,72.00607615115557,4.11,0.8643485121481419
prm,event,150.0,100,146,50.68493150684932,41-57,100.0,204.10958904109594,5.315068493150685,49.84906050299287,0.9153367099984906,0.029786029656829967,4.272960357144085,4.773972602739726,0.273972602739726,0.0,0.2671232876712329,459.0558646609844,0.42520489045647425,3.308219178082192,105.8618324113713,61.12622959173075,3.770000000000002,0.8654507270284788
prm,once,0.0,20,146,13.013698630136986,81-92,100.0,443.9726027397262,0.0,12.672362499642986,1.0,0.0,1.954308994295783,0.0,0.0,0.0,0.0,,0.08497310273185063,0.3082191780821918,-61.94581451099033,-80.37714933897408,4.389999999999994,0.9663393642706014
visibility,cycle,0.0,20,146,38.35616438356164,54-69,100.0,269.0410958904109,92.5,850.2853309914826,0.9673525431929944,0.06054192164182046,11.073462362073924,0.0,0.0,0.0,0.0,22.665955563302198,0.19144717225084734,0.1506849315068493,80.22243199356575,-2.2822679609966485,2.920000000000002,1.0123654390749846
visibility,cycle,0.0,100,146,34.93150684931507,57-72,100.0,283.6986301369863,16.71232876712329,175.02758449950306,0.967234644437368,0.06012974893109721,9.406709584136912,0.0,0.0,0.0,0.0,47.670691193102535,0.11326128966904538,0.0410958904109589,57.986339556484765,-7.6036800494679255,2.9200000000000013,1.0127840352442263
visibility,cycle,50.0,20,146,43.83561643835616,48-64,100.0,256.98630136986293,114.73972602739725,1141.4203034989896,0.9729036553714883,0.059707004465965906,10.673884992963508,0.0,0.0,0.0,0.0,30.00385785997439,0.2983773899232278,0.3972602739726027,131.69282590558694,2.8313513078490047,3.0600000000000023,1.0095847753116238
visibility,cycle,50.0,100,146,39.04109589041096,53-68,100.0,263.013698630137,20.910958904109588,241.04102500200497,0.9724436333543173,0.05991609648022201,9.387502018583387,0.0,0.0,0.0,0.0,82.71529170157831,0.19521602941902047,0.136986301369863,100.6445870979513,3.126207805153527,3.090000000000001,1.010244468598294
visibility,cycle,150.0,20,146,40.41095890410959,51-67,100.0,259.0410958904109,133.71917808219177,1263.7505940037954,0.9739910945573085,0.05868675251600737,9.772267309035156,0.0,0.0,0.0,0.0,40.835785673793126,0.49786529302925625,1.3424657534246576,115.10866195467014,0.2632973645452381,3.4800000000000026,0.9938011189535909
visibility,cycle,150.0,100,146,38.35616438356164,54-69,100.0,273.28767123287673,26.356164383561644,262.915552999857,0.9753480329677816,0.0595002652571583,8.925588920622634,0.0,0.0,0.0,0.0,119.99385055020468,0.3178242669868754,0.6438356164383562,101.5067710655822,-1.0353270795062173,3.540000000000002,0.9966489255870008
visibility,event,0.0,20,146,41.0958904109589,51-67,100.0,262.05479452054783,21.34931506849315,243.63755750300697,0.9535998505236178,0.01919979781938128,9.880501556233154,21.26027397260274,0.03424657534246575,0.0,0.0547945205479452,49.83800222826234,0.15416127231046128,0.13013698630136986,84.20948698285372,-0.0629439462416457,2.960000000000002,1.0126171409418252
visibility,event,0.0,100,146,35.61643835616438,56-72,100.0,262.8767123287671,7.136986301369863,88.15226349861405,0.9760875127915499,0.019448822144761267,7.835780531813849,7.102739726027397,0.0273972602739726,0.0,0.00684931506849315,64.79367031048614,0.09989341248769666,0.0410958904109589,67.76120208597658,-5.218927277855485,2.9700000000000015,1.0131626101754505
visibility,event,50.0,20,146,41.78082191780822,50-66,100.0,264.6575342465752,23.116438356164384,251.22134300340804,0.950965747976197,0.020257133937224527,9.540584221595287,22.801369863013697,0.2054794520547945,0.0,0.1095890410958904,71.44175749935121,0.21605408048343927,0.2534246575342466,135.3667351756239,-14.506990542441628,3.2200000000000024,1.0087167614317072
visibility,event,50.0,100,146,40.41095890410959,51-67,100.0,284.52054794520546,8.794520547945206,109.30036750301042,0.9763842523196737,0.021412159524509797,8.01586191435709,8.58904109589041,0.1506849315068493,0.0,0.0547945205479452,110.46369742645804,0.16623301353294237,0.07534246575342465,90.05909282633928,-10.842523727324817,3.2400000000000015,1.0101009238144958
visibility,event,150.0,20,146,40.41095890410959,51-67,100.0,286.4383561643832,18.828767123287673,213.91554799811274,0.9208358231842553,0.02388994286618419,8.61274152937993,17.910958904109588,0.5753424657534246,0.0,0.3424657534246575,124.7745609177335,0.3201488484817016,0.8493150684931506,105.20580055137032,-10.921467690932928,3.7400000000000024,0.9890487292878786
visibility,event,150.0,100,146,36.3013698630137,56-71,100.0,311.5068493150685,8.86986301369863,112.46132000110265,0.9699325375153298,0.024544414784229827,7.613509554124935,8.219178082191782,0.410958904109589,0.0,0.23972602739726026,179.38767559066122,0.23902849835014567,0.4041095890410959,110.18945167640501,-20.667951520319505,3.700000000000002,0.9933435044912237
visibility,once,0.0,20,146,13.698630136986301,80-91,100.0,383.8356164383563,0.0,22.283780999941882,1.0,0.0,3.370408860732449,0.0,0.0,0.0,0.0,,0.01349701750860937,0.0,-36.81945660612236,-77.84497435854547,3.510000000000003,1.0141824539100708
voronoi,cycle,0.0,20,191,53.403141361256544,40-54,100.0,174.34554973821983,86.4869109947644,312.350942003377,0.9244921655465587,0.047812144427344556,3.917626985169941,0.0,0.0,0.0,0.0,102.28710699402004,1.1901713467788955,6.827225130890052,73.31617851276803,6.881301385182184,3.000000000000002,0.954588347022841
voronoi,cycle,0.0,100,191,43.97905759162304,49-63,100.0,170.15706806282722,16.837696335078533,73.07122499514662,0.9256357538260283,0.048729943903233215,3.267094082990082,0.0,0.0,0.0,0.0,256.7583822391679,0.7039911751077861,4.130890052356021,71.06678110362029,5.687125742022573,3.0600000000000014,0.9504447173864587
voronoi,cycle,50.0,20,191,75.91623036649214,19-31,100.0,99.16230366492114,127.51832460732984,515.0869390040498,0.9359149877225033,0.057984327967722196,3.8863948270732807,0.0,0.0,0.0,0.0,83.80389861843184,1.5670378875278306,9.413612565445026,170.42126762925943,44.51806722557152,3.2800000000000025,0.9325150932417724
