scenario,planner,replan_policy,prediction_horizon_ms,replan_period_ms,planning_clearance_mm,trial,seed,collision_episodes,obstacle_collision_episodes,robot_collision_episodes,minimum_clearance_mm,minimum_robot_clearance_mm,minimum_obstacle_clearance_mm,contact_time_ms
random-s0-0002,prm,event,150.0,20.0,0.0,1,0,1,1,0,-152.31157179247086,13.10106106376452,-152.31157179247086,380.00000000000006
random-s0-0002,prm,event,150.0,100.0,0.0,1,0,3,3,0,-152.31157179247128,84.82820189797445,-152.31157179247128,760.0000000000003
random-s0-0002,visibility,once,0.0,20.0,0.0,1,0,4,3,1,-153.6182812522954,-80.0149796630608,-153.6182812522954,660.0000000000002
random-s0-0002,visibility,cycle,0.0,20.0,0.0,1,0,4,4,0,-152.31157179247086,142.49153418024645,-152.31157179247086,1659.9999999999854
random-s0-0002,visibility,cycle,0.0,100.0,0.0,1,0,4,4,0,-152.31157179247128,148.10275994296205,-152.31157179247128,1660.0000000000011
random-s0-0002,visibility,cycle,50.0,20.0,0.0,1,0,3,3,0,-152.31157179247086,191.2915049218329,-152.31157179247086,1579.9999999999873
random-s0-0002,visibility,cycle,50.0,100.0,0.0,1,0,0,0,0,25.8777279687489,184.6007238084348,25.8777279687489,0.0
random-s0-0002,visibility,cycle,150.0,20.0,0.0,1,0,1,1,0,-114.78800450518862,85.7176173900906,-114.78800450518862,239.99999999999983
random-s0-0002,visibility,cycle,150.0,100.0,0.0,1,0,1,1,0,-87.23384986601366,208.87104078754288,-87.23384986601366,159.9999999999998
random-s0-0002,visibility,event,0.0,20.0,0.0,1,0,2,2,0,-152.31157179247086,76.268591193298,-152.31157179247086,960.0000000000006
random-s0-0002,visibility,event,0.0,100.0,0.0,1,0,3,3,0,-152.31157179247128,87.38641787947171,-152.31157179247128,1060.0000000000005
random-s0-0002,visibility,event,50.0,20.0,0.0,1,0,3,3,0,-152.31157179247086,88.71456520877956,-152.31157179247086,1399.9999999999914
random-s0-0002,visibility,event,50.0,100.0,0.0,1,0,3,3,0,-152.31157179247128,100.16975799997788,-152.31157179247128,960.0000000000006
random-s0-0002,visibility,event,150.0,20.0,0.0,1,0,4,4,0,-152.31157179247086,119.88089915981465,-152.31157179247086,1819.9999999999875
random-s0-0002,visibility,event,150.0,100.0,0.0,1,0,4,4,0,-153.3902860131614,186.4044141631946,-153.3902860131614,1140.0000000000005
random-s0-0003,voronoi,once,0.0,20.0,0.0,1,0,1,1,0,-137.89866493230855,207.23700206606043,-137.89866493230855,259.99999999999994
random-s0-0003,voronoi,cycle,0.0,20.0,0.0,1,0,0,0,0,7.944837881925338,7.944837881925338,36.05306079605603,0.0
random-s0-0003,voronoi,cycle,0.0,100.0,0.0,1,0,0,0,0,30.503073368453784,78.07503213188772,30.503073368453784,0.0
random-s0-0003,voronoi,cycle,50.0,20.0,0.0,1,0,0,0,0,44.51806722557152,55.244999993269545,44.51806722557152,0.0
random-s0-0003,voronoi,cycle,50.0,100.0,0.0,1,0,0,0,0,50.66466782719263,109.30373567857656,50.66466782719263,0.0
random-s0-0003,voronoi,cycle,150.0,20.0,0.0,1,0,0,0,0,77.23826657795684,194.80115580547044,77.23826657795684,0.0
random-s0-0003,voronoi,cycle,150.0,100.0,0.0,1,0,0,0,0,81.78598725517503,81.78598725517503,115.13386793114744,0.0
random-s0-0003,voronoi,event,0.0,20.0,0.0,1,0,1,0,1,-0.9045682735384446,-0.9045682735384446,36.28273184343243,20.0
random-s0-0003,voronoi,event,0.0,100.0,0.0,1,0,1,0,1,-58.30849830731718,-58.30849830731718,30.503073368453784,119.99999999999991
random-s0-0003,voronoi,event,50.0,20.0,0.0,1,0,0,0,0,45.71921544237645,67.53567047324245,45.71921544237645,0.0
random-s0-0003,voronoi,event,50.0,100.0,0.0,1,0,2,2,0,-16.680302733623222,66.10945684997651,-16.680302733623222,320.0
random-s0-0003,voronoi,event,150.0,20.0,0.0,1,0,0,0,0,115.13386793114744,250.865100810318,115.13386793114744,0.0
random-s0-0003,voronoi,event,150.0,100.0,0.0,1,0,0,0,0,87.37984877267564,87.37984877267564,115.13386793114744,0.0
random-s0-0003,prm,once,0.0,20.0,0.0,1,0,3,1,2,-105.08161343872425,-105.08161343872425,-8.94419007665033,400.00000000000006
random-s0-0003,prm,cycle,0.0,20.0,0.0,1,0,0,0,0,32.215532974590474,32.215532974590474,86.12244501883134,0.0
random-s0-0003,prm,cycle,0.0,100.0,0.0,1,0,0,0,0,73.98881958074776,73.98881958074776,74.61655610152579,0.0
random-s0-0003,prm,cycle,50.0,20.0,0.0,1,0,0,0,0,40.57468076554588,118.08671311126432,40.57468076554588,0.0
random-s0-0003,prm,cycle,50.0,100.0,0.0,1,0,0,0,0,81.50385248640248,113.15333291291068,81.50385248640248,0.0
random-s0-0003,prm,cycle,150.0,20.0,0.0,1,0,0,0,0,115.13386793114744,205.62029689468824,115.13386793114744,0.0
random-s0-0003,prm,cycle,150.0,100.0,0.0,1,0,0,0,0,113.09686315578148,126.47571206975392,113.09686315578148,0.0
random-s0-0003,prm,event,0.0,20.0,0.0,1,0,0,0,0,16.89390272524102,16.89390272524102,86.12244501883134,0.0
random-s0-0003,prm,event,0.0,100.0,0.0,1,0,0,0,0,39.03084186562219,39.03084186562219,74.61655610152579,0.0
random-s0-0003,prm,event,50.0,20.0,0.0,1,0,0,0,0,37.804519191665946,37.804519191665946,40.57468076554588,0.0
random-s0-0003,prm,event,50.0,100.0,0.0,1,0,0,0,0,54.502239228033375,153.44434370583076,54.502239228033375,0.0
random-s0-0003,prm,event,150.0,20.0,0.0,1,0,0,0,0,100.88441217201176,123.67808020898023,100.88441217201176,0.0
random-s0-0003,prm,event,150.0,100.0,0.0,1,0,0,0,0,115.13386793114744,127.32069009114451,115.13386793114744,0.0
random-s0-0003,visibility,once,0.0,20.0,0.0,1,0,0,0,0,15.238579078700354,15.238579078700354,72.7163424855421,0.0
random-s0-0003,visibility,cycle,0.0,20.0,0.0,1,0,0,0,0,41.00776999677481,41.00776999677481,77.22326768470197,0.0
random-s0-0003,visibility,cycle,0.0,100.0,0.0,1,0,0,0,0,38.21636338156978,38.21636338156978,78.93140370014862,0.0
random-s0-0003,visibility,cycle,50.0,20.0,0.0,1,0,0,0,0,61.8213103975493,61.8213103975493,83.50582372428977,0.0
random-s0-0003,visibility,cycle,50.0,100.0,0.0,1,0,1,0,1,-116.9849932525206,-116.9849932525206,91.59374479904945,79.99999999999991
random-s0-0003,visibility,cycle,150.0,20.0,0.0,1,0,0,0,0,67.95328021644985,161.36540274868105,67.95328021644985,0.0
random-s0-0003,visibility,cycle,150.0,100.0,0.0,1,0,0,0,0,15.072630793081371,15.072630793081371,69.09045515145868,0.0
random-s0-0003,visibility,event,0.0,20.0,0.0,1,0,0,0,0,14.492389744972089,14.492389744972089,77.59634926983671,0.0
random-s0-0003,visibility,event,0.0,100.0,0.0,1,0,0,0,0,15.770690235530395,15.770690235530395,78.93140370014862,0.0
random-s0-0003,visibility,event,50.0,20.0,0.0,1,0,0,0,0,18.707949480032,18.707949480032,84.36003289311276,0.0
random-s0-0003,visibility,event,50.0,100.0,0.0,1,0,0,0,0,16.02388194040904,16.02388194040904,93.51867807720686,0.0
random-s0-0003,visibility,event,150.0,20.0,0.0,1,0,0,0,0,21.82351728531708,21.82351728531708,67.95328021644985,0.0
random-s0-0003,visibility,event,150.0,100.0,0.0,1,0,1,0,1,-159.91798452597624,-159.91798452597624,69.09045515145868,480.00000000000017
random-s0-0004,voronoi,once,0.0,20.0,0.0,1,0,6,2,4,-115.63095203453436,-115.63095203453436,-99.9318643622484,1120.0000000000005
random-s0-0004,voronoi,cycle,0.0,20.0,0.0,1,0,0,0,0,6.0341601490781045,6.0341601490781045,98.30234296007568,0.0
random-s0-0004,voronoi,cycle,0.0,100.0,0.0,1,0,1,0,1,-16.555544973753626,-16.555544973753626,58.50355979324922,39.99999999999991
random-s0-0004,voronoi,cycle,50.0,20.0,0.0,1,0,0,0,0,87.66381145595108,87.66381145595108,146.6006090887949,0.0
random-s0-0004,voronoi,cycle,50.0,100.0,0.0,1,0,0,0,0,98.4961164965082,98.4961164965082,150.72309497390108,0.0
random-s0-0004,voronoi,cycle,150.0,20.0,0.0,1,0,0,0,0,63.11575218414964,63.11575218414964,102.85038775093182,0.0
random-s0-0004,voronoi,cycle,150.0,100.0,0.0,1,0,2,0,2,-112.84677807922716,-112.84677807922716,95.57787296448868,620.0000000000001
random-s0-0004,voronoi,event,0.0,20.0,0.0,1,0,0,0,0,0.1770824134504209,0.1770824134504209,111.0143923540582,0.0
random-s0-0004,voronoi,event,0.0,100.0,0.0,1,0,5,3,2,-140.34920552640975,-140.34920552640975,-11.583312065669588,259.99999999999983
random-s0-0004,voronoi,event,50.0,20.0,0.0,1,0,0,0,0,5.178465276062866,5.178465276062866,138.023242587707,0.0
random-s0-0004,voronoi,event,50.0,100.0,0.0,1,0,0,0,0,32.20890980761865,65.77468714360299,32.20890980761865,0.0
random-s0-0004,voronoi,event,150.0,20.0,0.0,1,0,0,0,0,15.67296697281094,15.67296697281094,102.85038775093182,0.0
random-s0-0004,voronoi,event,150.0,100.0,0.0,1,0,2,0,2,-112.84677807922716,-112.84677807922716,95.57787296448868,620.0000000000001
random-s0-0004,prm,once,0.0,20.0,0.0,1,0,3,1,2,-123.06467647851213,-115.63095203453436,-123.06467647851213,460.0000000000001
random-s0-0004,prm,cycle,0.0,20.0,0.0,1,0,1,1,0,-58.20121281122634,0.3611663851333162,-58.20121281122634,520.0000000000001
random-s0-0004,prm,cycle,0.0,100.0,0.0,1,0,4,1,3,-164.76575854845257,-164.76575854845257,-73.40545894294178,1080.0000000000002
random-s0-0004,prm,cycle,50.0,20.0,0.0,1,0,0,0,0,43.35197627268633,222.3441527327752,43.35197627268633,0.0
random-s0-0004,prm,cycle,50.0,100.0,0.0,1,0,2,1,1,-126.02496151339616,-126.02496151339616,-62.30940804429292,420.00000000000006
random-s0-0004,prm,cycle,150.0,20.0,0.0,1,0,1,1,0,-25.995819636867367,86.6179091356434,-25.995819636867367,199.99999999999997
random-s0-0004,prm,cycle,150.0,100.0,0.0,1,0,1,1,0,-25.995819636867367,2.251933225940462,-25.995819636867367,199.99999999999997
random-s0-0004,prm,event,0.0,20.0,0.0,1,0,0,0,0,8.9227753410687,147.90833196343883,8.9227753410687,0.0
random-s0-0004,prm,event,0.0,100.0,0.0,1,0,3,1,2,-164.76575854845257,-164.76575854845257,-55.49325051112788,880.0000000000002
random-s0-0004,prm,event,50.0,20.0,0.0,1,0,2,2,0,-50.463997515378935,6.622696704254082,-50.463997515378935,220.0
random-s0-0004,prm,event,50.0,100.0,0.0,1,0,2,1,1,-126.02496151339616,-126.02496151339616,-62.30940804429292,400.0
random-s0-0004,prm,event,150.0,20.0,0.0,1,0,1,1,0,-25.995819636867367,240.9367957339205,-25.995819636867367,199.99999999999997
random-s0-0004,prm,event,150.0,100.0,0.0,1,0,1,1,0,-25.995819636867367,67.311928728846,-25.995819636867367,199.99999999999997
random-s0-0004,visibility,once,0.0,20.0,0.0,1,0,6,2,4,-115.63095203453436,-115.63095203453436,-72.44910436495461,1020.0000000000005
random-s0-0004,visibility,cycle,0.0,20.0,0.0,1,0,2,2,0,-101.44902903672138,8.820388868991898,-101.44902903672138,640.0000000000002
random-s0-0004,visibility,cycle,0.0,100.0,0.0,1,0,2,2,0,-78.35118103943365,16.99897146891584,-78.35118103943365,600.0
