scenario,planner,replan_policy,prediction_horizon_ms,replan_period_ms,planning_clearance_mm,trial,seed,replan_count,replan_failures,replan_attempts,blocked_ms,blocked_time_pct,any_replan_failure,rebuild_calls,check_calls,planner_calls,planning_time_ms_total,planning_time_ms_initial,planning_time_ms_max_call,planning_time_ms_p95_call,planning_time_ms_rebuild,planning_time_ms_check,replans_active_blocked,replans_route_blocked,replans_route_finished,replans_scheduled,replans_other,direct_path_switches,path_shift_mm_mean,path_shift_mm_max,heading_change_rad_per_m,sharp_turns
random-s0-0000,voronoi,event,150.0,100.0,0.0,1,0,31,2,33,200.0,4.629629629629635,True,37,152,189,96.81161000253267,4.3059260005975375,8.268474000033166,4.352640999968571,83.19626600086849,13.615344001664198,24,5,0,0,2,19,400.796494457425,750.0,2.675556213168304,27
random-s0-0000,prm,once,0.0,20.0,0.0,1,0,0,0,0,0.0,0.0,False,6,0,6,15.521193000040512,15.521193000040512,15.404907000174717,15.404907000174717,15.521193000040512,0.0,0,0,0,0,0,0,0.0,0.0,0.0350948094631807,0
random-s0-0000,prm,cycle,0.0,20.0,0.0,1,0,36,23,59,460.0,17.037037037037024,True,42,623,665,327.69156599624694,7.616692000283365,6.949525999971229,6.2569730002906,241.45162200011328,86.23994399613366,0,0,0,36,0,4,30.7678296786097,407.5411257752987,0.1587428803532444,0
random-s0-0000,prm,cycle,0.0,100.0,0.0,1,0,7,5,12,500.0,18.796992481203002,True,13,122,135,70.97539100277572,7.767503999730252,7.084828000188281,6.343638000089413,54.20720800066192,16.7681830021138,0,0,0,7,0,4,132.90424591469232,355.83409714000527,0.1686895001226885,0
random-s0-0000,prm,cycle,50.0,20.0,0.0,1,0,68,41,109,820.0,28.4722222222222,True,74,588,662,512.7802919932947,7.577532999675895,7.170528999722592,6.278128999838373,434.0909709976586,78.68932099563608,0,0,0,68,0,6,25.94426197830473,345.62965050365074,0.201896847675547,0
random-s0-0000,prm,cycle,50.0,100.0,0.0,1,0,10,7,17,700.0,24.475524475524463,True,16,123,139,118.13968000069508,7.741304999854037,11.434276000272805,6.649165999988327,78.39733299988438,39.742347000810696,0,0,0,10,0,4,258.49780203903424,750.0,0.3281731257850587,1
random-s0-0000,prm,cycle,150.0,20.0,0.0,1,0,37,142,179,2840.0,98.61111111111103,True,43,646,689,335.4539459978696,11.262808000083169,14.744320999852787,5.109351000101015,254.9283469998045,80.5255989980651,0,0,0,37,0,4,125.68386615602309,750.0000000000001,0.4808296802605249,3
random-s0-0000,prm,cycle,150.0,100.0,0.0,1,0,8,21,29,2100.0,72.41379310344824,True,14,128,142,82.81964800016794,7.243245000609022,15.007184000296547,5.306472000029316,67.05491400134633,15.764733998821612,0,0,0,8,0,4,593.4920689088444,733.7537678686563,0.541439463535088,2
random-s0-0000,prm,event,0.0,20.0,0.0,1,0,3,23,26,460.0,16.7883211678832,True,9,658,667,39.29485799608301,7.030816999304079,7.051465000131429,0.0416609996136685,27.111290999528137,12.183566996554871,3,0,0,0,0,4,341.3017596011215,407.5411257752987,0.157788380377832,0
random-s0-0000,prm,event,0.0,100.0,0.0,1,0,2,5,7,500.0,18.248175182481745,True,8,128,136,22.54730799904792,7.083234999299748,7.00229699987176,0.0633419999758189,19.949491998886515,2.597816000161401,2,0,0,0,0,3,342.8090672506085,355.83409714000527,0.1336876385936509,0
random-s0-0000,prm,event,50.0,20.0,0.0,1,0,7,30,37,600.0,20.833333333333318,True,13,662,675,65.57858499445501,6.871354000395513,6.786714000099892,0.0616150000496418,51.57872400059205,13.999860993862969,7,0,0,0,0,8,337.2477672320337,634.3162084988661,0.369791151959389,0
random-s0-0000,prm,event,50.0,100.0,0.0,1,0,4,8,12,800.0,27.97202797202796,True,10,129,139,35.06302999721811,7.026021999990917,6.940878000023076,0.0846120001369854,32.437378000395256,2.625651996822853,4,0,0,0,0,4,420.0947821268063,750.0,0.2397064897456245,1
random-s0-0000,prm,event,150.0,20.0,0.0,1,0,6,69,75,1380.0,45.69536423841056,True,12,761,773,120.88592200507264,6.550636999691051,29.11396600029548,0.0686429998495441,45.66376200000377,75.22216000506887,5,1,0,0,0,4,460.78846322440336,688.6878125020997,0.4281294224438167,3
random-s0-0000,prm,event,150.0,100.0,0.0,1,0,4,15,19,1500.0,48.70129870129868,True,10,141,151,40.7031940003435,6.889929999942979,8.139864999975543,0.0992870000118273,28.927238000051148,11.775956000292354,4,0,0,0,0,4,595.199387165045,676.3696961195567,0.4407904354517146,2
random-s0-0000,visibility,once,0.0,20.0,0.0,1,0,0,0,0,0.0,0.0,False,6,0,6,20.43919400011873,20.43919400011873,20.340723000117578,20.340723000117578,20.43919400011873,0.0,0,0,0,0,0,0,0.0,0.0,0.0087902170042043,0
