scenario,planner,replan_policy,backend,physics_validation_passes,runs,scenario_count,completed_runs,completion_rate,failed_plans,collision_episodes,collision_free_rate,planner_calls_mean,replans_mean,replan_failures,planning_time_ms_median,planning_time_ms_p95,planning_time_ms_mean,call_time_ms_median,call_time_ms_max,time_to_goal_ms_mean,simulated_duration_ms_mean,wall_time_ms_mean,realtime_factor_mean,planned_path_length_mm_mean,travelled_distance_mm_mean,mean_final_error_mm,minimum_clearance_mm
22.11.24.08.2026~perturbed,prm,event,kinematic,0,20,20,16,0.8,4,4,0.8,386.35,3.2,342,43.91761049919296,78.6028309989888,46.8700122497296,0.10991301734695061,14.885185000025558,2762.499999999995,2734.166666666662,58.87576850001892,50.83002603631255,11367.15029164275,8631.292147527443,205.2786319506892,-158.0408175646608
22.11.24.08.2026~perturbed,visibility,once,kinematic,0,20,20,16,0.8,4,76,0.0,3.0,0.0,0,33.47661649985412,36.95804499989208,31.634771999995337,11.158872166618039,15.019047999999202,3562.500000000002,3465.0000000000023,34.83244175000664,100.7654021371917,6851.821937220906,6655.314776492698,205.26662037836985,-123.60939864481415
22.11.24.08.2026~perturbed,visibility,cycle,kinematic,0,20,20,16,0.8,4,58,0.0,480.3,184.7,913,2115.484701499554,3278.3962320016826,2062.582122750001,3.987872861826397,34.87961199994061,3559.3749999999923,3463.333333333326,2081.429542349997,1.8241275905217222,6851.821937220906,6702.353871221492,205.54741470758626,-166.292272349186
22.11.24.08.2026~perturbed,visibility,event,kinematic,0,20,20,16,0.8,4,54,0.0,489.8,39.5,879,393.43161750042555,985.4297480001151,469.50825145021327,0.8807696629474373,30.563068999981624,3599.9999999999923,3495.8333333333258,485.31632649999773,8.293648546805354,6851.821937220906,6718.8540243224925,205.45852347455016,-120.59048209776128
crowded,voronoi,once,kinematic,0,1,1,1,1.0,0,1,0.0,3.0,0.0,0,14.538007000055586,14.538007000055586,14.538007000055586,4.846002333351862,4.932592000045588,9979.999999999876,9979.999999999876,23.15735299998778,430.96462708864624,22854.683707277938,21713.968751648077,58.559378754345495,-68.28004262027912
crowded,voronoi,cycle,kinematic,0,1,1,1,1.0,0,0,1.0,558.0,253.0,2,1272.582696999848,1272.582696999848,1272.582696999848,2.2806141523294765,10.76965000004293,3533.3333333333258,3533.3333333333258,1294.1070660000378,2.730325354187675,22854.683707277938,12816.421613201037,58.63586496019844,1.3711680940215558
crowded,voronoi,event,kinematic,0,1,1,1,1.0,0,0,1.0,869.0,1.0,0,47.62690900088273,47.62690900088273,47.62690900088273,0.054806569621268966,4.89735999997265,7233.333333333313,7233.333333333313,78.1129399999827,92.60096129187961,22854.683707277938,15997.304705966224,59.35055152979216,0.21560021166931165
crowded,prm,once,kinematic,0,1,1,1,1.0,0,1,0.0,3.0,0.0,0,21.500901999957023,21.500901999957023,21.500901999957023,7.166967333319008,7.416769999963435,4020.0000000000023,4020.0000000000023,25.099103999991712,160.16507999653413,11572.025797384194,10707.244565540983,58.17190314546332,-77.87559992016375
crowded,prm,cycle,kinematic,0,1,1,1,1.0,0,1,0.0,492.0,117.0,127,928.2583029992111,928.2583029992111,928.2583029992111,1.8867038678845753,13.871343000005254,3199.9999999999936,3199.9999999999936,949.7809309999639,3.3691979861407804,11572.025797384194,9315.625190579816,59.042311574605925,-146.4457630709677
crowded,prm,event,kinematic,0,1,1,1,1.0,0,0,1.0,592.0,2.0,0,48.72554800033413,48.72554800033413,48.72554800033413,0.08230666891948332,7.408600000076149,3449.9999999999927,3449.9999999999927,65.84318599993821,52.39722148322577,11572.025797384194,10301.17920758282,59.126888786732536,1.0375197860678895
