scenario,planner,trial,seed,status,completed,timed_out,robot_count,planner_calls,failed_plans,failed_robots,planning_time_ms_total,planning_time_ms_mean,simulated_duration_ms,wall_time_ms,realtime_factor,ticks,robot_collision_episodes,obstacle_collision_episodes,collision_episodes,planned_path_length_mm,travelled_distance_mm,mean_final_error_mm,max_final_error_mm,minimum_clearance_mm,dt_ms,backend,physics_validation_passed,missed_frames,max_frame_gap_ms,max_final_speed_mmps,evidence_directory,error,scenario_set,replan_policy,replan_count,replan_failures,planning_time_ms_initial,planning_time_ms_max_call,time_to_goal_ms
22.11.24.08.2026~p003,voronoi,1,0,completed,True,False,3,345,0,,240.27910299867017,0.6964611681120875,2133.3333333333308,251.60883900002773,8.478769433585343,128,0,0,0,9164.348705836639,7281.6425080748195,58.96738012321398,59.25348358961863,0.8436501963309126,20.0,kinematic,False,0,0.0,,,,22.11.24.08.2026~perturbed,cycle,46,1,13.5069289999592,6.141325000044162,2133.3333333333308
22.11.24.08.2026~p003,voronoi,1,0,completed,True,False,3,354,0,,48.300570000719745,0.1364422881376264,2133.3333333333308,63.53235200003837,33.57869284190899,128,0,0,0,9164.348705836639,7452.469638693954,58.86834257083086,59.180880781339425,0.8436501963309126,20.0,kinematic,False,0,0.0,,,,22.11.24.08.2026~perturbed,event,5,0,13.904335999882278,4.912971999942783,2133.3333333333308
22.11.24.08.2026~p003,prm,1,0,completed,True,False,3,3,0,,19.67483999999331,6.55827999999777,4179.999999999999,23.529338999992433,177.65054938438107,209,0,0,0,10979.667256740335,10333.096533866232,58.34997858045787,58.84946720663148,80.77256893693988,20.0,kinematic,False,0,0.0,,,,22.11.24.08.2026~perturbed,once,0,0,19.67483999999331,6.5749269999741955,4179.999999999999
22.11.24.08.2026~p003,prm,1,0,completed,True,False,3,349,0,,460.227991999659,1.3187048481365589,2366.6666666666633,473.8201320000144,4.994863043655122,142,0,0,0,10979.667256740335,7782.622777463314,59.16060209315299,59.780897780323926,3.180067065937834,20.0,kinematic,False,0,0.0,,,,22.11.24.08.2026~perturbed,cycle,62,11,20.546098000068014,8.889837999959127,2366.6666666666633
22.11.24.08.2026~p003,prm,1,0,completed,True,False,3,354,0,,59.28570499918351,0.16747374293554662,2433.3333333333294,70.32587599996987,34.60082506948611,146,1,0,1,10979.667256740335,7941.771130989754,58.82657759001618,59.286763996040406,-2.2411160654280025,20.0,kinematic,False,0,0.0,,,,22.11.24.08.2026~perturbed,event,5,16,19.526525000060246,6.763689999957023,2433.3333333333294
22.11.24.08.2026~p003,visibility,1,0,completed,True,False,3,3,0,,35.190715000112505,11.730238333370835,3840.000000000003,38.71262600000591,99.19244434617835,192,0,4,4,6964.874619042268,6745.282025168432,59.306541134673886,59.61957101162553,-35.24668580921056,20.0,kinematic,False,0,0.0,,,,22.11.24.08.2026~perturbed,once,0,0,35.190715000112505,12.680447999969147,3840.000000000003
22.11.24.08.2026~p003,visibility,1,0,completed,True,False,3,478,0,,2182.440691000693,4.56577550418555,3633.3333333333253,2203.093254999999,1.6491963402308756,218,0,3,3,6964.874619042268,6746.335637070226,59.426255075856204,59.73740671533949,-31.43675828471862,20.0,kinematic,False,0,0.0,,,,22.11.24.08.2026~perturbed,cycle,196,17,33.27232299989191,15.255338999963897,3633.3333333333253
22.11.24.08.2026~p003,visibility,1,0,completed,True,False,3,488,0,,355.42216000010285,0.7283240983608665,3799.9999999999914,371.35569399993074,10.232776988201238,228,0,3,3,6964.874619042268,6748.638361356792,59.413252343050196,59.69839851692145,-33.24626583918217,20.0,kinematic,False,0,0.0,,,,22.11.24.08.2026~perturbed,event,28,22,35.98496699999032,15.622649999954774,3799.9999999999914
22.11.24.08.2026~p004,voronoi,1,0,completed,True,False,3,3,0,,14.015559000085887,4.671853000028629,5199.999999999977,18.78148899993448,276.8683569241032,260,1,0,1,10700.755611335724,9874.269347636066,58.59328280324875,58.9439668870625,-114.27962275191547,20.0,kinematic,False,0,0.0,,,,22.11.24.08.2026~perturbed,once,0,0,14.015559000085887,4.861126000037075,5199.999999999977
22.11.24.08.2026~p004,voronoi,1,0,completed,True,False,3,500,0,,899.2204210009049,1.7984408420018099,3299.999999999993,921.8582620000007,3.5797260121534724,198,0,0,0,10700.755611335724,8448.002524283522,59.10750492479246,59.892826180016726,5.5049065028796065,20.0,kinematic,False,0,0.0,,,,22.11.24.08.2026~perturbed,cycle,189,2,13.785776000077021,6.628042999977879,3299.999999999993
22.11.24.08.2026~p004,voronoi,1,0,completed,True,False,3,492,0,,30.31710999994175,0.06162014227630437,3449.9999999999927,45.95657400000164,75.07087016538416,207,0,0,0,10700.755611335724,8013.491850418757,59.26805434375725,59.88037358561598,0.34064312607983993,20.0,kinematic,False,0,0.0,,,,22.11.24.08.2026~perturbed,event,0,0,13.864457999943625,4.655409999941185,3449.9999999999927
22.11.24.08.2026~p004,prm,1,0,completed,True,False,3,3,0,,19.76866899997276,6.5895563333242535,5219.999999999976,24.35528000000886,214.32724238842982,261,0,1,1,14174.096480057782,13276.575432669539,59.0147773918113,59.71770422525777,-64.55720546274185,20.0,kinematic,False,0,0.0,,,,22.11.24.08.2026~perturbed,once,0,0,19.76866899997276,6.739360999972632,5219.999999999976
22.11.24.08.2026~p004,prm,1,0,completed,True,False,3,441,0,,927.1509159996185,2.102383029477593,3116.6666666666606,945.771635999904,3.295369144129183,187,0,0,0,14174.096480057782,9862.26878744162,58.39545013876748,58.68783014757383,1.737258294997332,20.0,kinematic,False,0,0.0,,,,22.11.24.08.2026~perturbed,cycle,127,3,19.20520300006956,18.80200599998716,3116.6666666666606
22.11.24.08.2026~p004,prm,1,0,completed,True,False,3,464,0,,57.767179999586915,0.12449823275773042,3483.3333333333258,72.52133700001195,48.03184107503081,209,0,0,0,14174.096480057782,9986.442933238284,58.50311559663245,59.246912292859,2.0955870385501214,20.0,kinematic,False,0,0.0,,,,22.11.24.08.2026~perturbed,event,3,0,19.982687000037913,14.885185000025558,3483.3333333333258
22.11.24.08.2026~p004,visibility,1,0,completed,True,False,3,3,0,,31.984943000111343,10.66164766670378,3120.0000000000023,34.82739000003221,89.58466310559352,156,0,4,4,7225.510833226527,6963.595388174655,59.19295799766339,59.373171630550424,-62.404536964542515,20.0,kinematic,False,0,0.0,,,,22.11.24.08.2026~perturbed,once,0,0,31.984943000111343,10.82174100008615,3120.0000000000023
22.11.24.08.2026~p004,visibility,1,0,completed,True,False,3,560,0,,2220.971664999979,3.9660208303571056,3349.999999999993,2241.8195349999905,1.494321887956966,201,1,3,4,7225.510833226527,7239.330503405285,58.96717388878889,59.72067883987995,-166.292272349186,20.0,kinematic,False,0,0.0,,,,22.11.24.08.2026~perturbed,cycle,208,107,32.173113999988345,16.515174000005572,3349.999999999993
22.11.24.08.2026~p004,visibility,1,0,completed,True,False,3,491,0,,388.6597649991472,0.7915677494890982,3133.333333333327,404.0676639999674,7.754476817856872,188,0,3,3,7225.510833226527,6968.259842883854,59.45214713297046,59.72067883987995,-61.48620308845156,20.0,kinematic,False,0,0.0,,,,22.11.24.08.2026~perturbed,event,32,44,32.85880900000393,22.424610000030043,3133.333333333327
22.11.24.08.2026~p005,voronoi,1,0,completed,True,False,3,3,0,,14.231061000145928,4.743687000048642,5699.999999999966,19.362122000075033,294.3892203539404,285,0,0,0,11590.723601869853,10541.54067695684,59.039399007319616,59.72583419620189,59.73294389384435,20.0,kinematic,False,0,0.0,,,,22.11.24.08.2026~perturbed,once,0,0,14.231061000145928,4.804978000038318,5699.999999999966
22.11.24.08.2026~p005,voronoi,1,0,completed,True,False,3,373,0,,358.9521709997143,0.9623382600528534,2266.6666666666633,371.3908189999984,6.103184437272461,136,0,0,0,11590.723601869853,7701.87402848937,59.157899736099985,59.61431277917241,7.446858344939784,20.0,kinematic,False,0,0.0,,,,22.11.24.08.2026~perturbed,cycle,74,0,13.772814000049038,6.230713000036303,2266.6666666666633
22.11.24.08.2026~p005,voronoi,1,0,completed,True,False,3,379,0,,57.14737400001013,0.15078462796836448,2266.6666666666633,73.85883399990689,30.689174793492146,136,0,0,0,11590.723601869853,7928.230091210948,58.97193165461784,59.9310307462987,0.8374342940473127,20.0,kinematic,False,0,0.0,,,,22.11.24.08.2026~perturbed,event,7,0,13.548678000120162,4.658410999923035,2266.6666666666633
22.11.24.08.2026~p005,prm,1,0,completed,True,False,3,3,0,,18.958448000034878,6.319482666678293,3940.000000000003,22.47722699996757,175.28852647195706,197,0,0,0,12840.322702460846,12270.686695519533,58.863086459413886,59.26516198781138,6.955064043230266,20.0,kinematic,False,0,0.0,,,,22.11.24.08.2026~perturbed,once,0,0,18.958448000034878,6.400540999948134,3940.000000000003
22.11.24.08.2026~p005,prm,1,0,completed,True,False,3,349,0,,315.68487600065964,0.9045411919789674,2216.666666666664,329.15543900003286,6.734406921547004,133,0,0,0,12840.322702460846,7895.681475064842,58.677782939633545,58.88665979874895,4.4029573397037325,20.0,kinematic,False,0,0.0,,,,22.11.24.08.2026~perturbed,cycle,41,12,19.177981000098043,7.122828999968078,2216.666666666664
22.11.24.08.2026~p005,prm,1,0,completed,True,False,3,349,0,,76.61023899868269,0.21951357879278707,2216.666666666664,87.19115300004887,25.42306863020175,133,0,0,0,12840.322702460846,7895.681475064842,58.677782939633545,58.88665979874895,4.4029573397037325,20.0,kinematic,False,0,0.0,,,,22.11.24.08.2026~perturbed,event,8,12,19.55268899996554,6.821395999963897,2216.666666666664
22.11.24.08.2026~p005,visibility,1,0,completed,True,False,3,3,0,,36.95804499989208,12.319348333297361,3200.0000000000023,39.875146999975186,80.25048785405089,160,0,3,3,7174.69496903102,6984.364496554932,58.443819173705286,59.52737713769397,-11.455984718039588,20.0,kinematic,False,0,0.0,,,,22.11.24.08.2026~perturbed,once,0,0,36.95804499989208,15.019047999999202,3200.0000000000023
22.11.24.08.2026~p005,visibility,1,0,completed,True,False,3,471,0,,1838.8691969992124,3.904180885348646,3199.9999999999936,1856.7276210000045,1.723462269752051,192,0,1,1,7174.69496903102,7013.510482006104,58.88658487663815,59.010143698313044,-11.058777017729767,20.0,kinematic,False,0,0.0,,,,22.11.24.08.2026~perturbed,cycle,168,14,34.882277999940925,17.857333000051767,3199.9999999999936
22.11.24.08.2026~p005,visibility,1,0,completed,True,False,3,470,0,,322.0198039975912,0.6851485191438111,3199.9999999999936,336.6576390000091,9.505205375719715,192,0,1,1,7174.69496903102,7012.006724966892,59.29860565495823,59.914313399130265,-11.058777017729767,20.0,kinematic,False,0,0.0,,,,22.11.24.08.2026~perturbed,event,27,14,33.003404000055525,11.118678000002546,3199.9999999999936
22.11.24.08.2026~p006,voronoi,1,0,completed,True,False,3,3,0,,13.555977999999413,4.5186593333331375,4879.999999999984,17.999158999941756,271.1237786174218,244,1,1,2,10582.838592418982,9798.159089420677,58.529089504050035,58.81425877279311,-104.99163001483392,20.0,kinematic,False,0,0.0,,,,22.11.24.08.2026~perturbed,once,0,0,13.555977999999413,4.607145000022683,4879.999999999984
22.11.24.08.2026~p006,voronoi,1,0,timed_out,False,True,3,2070,0,,456.09647000094355,0.22033645893765388,30000.0,544.9544509999669,55.050472466003995,1801,0,423,423,10582.838592418982,14923.828330715787,66.67828176660093,83.5329250703174,-2.686527105489205,20.0,kinematic,False,0,0.0,,,,22.11.24.08.2026~perturbed,cycle,503,0,14.638335999961782,5.600083999979688,
22.11.24.08.2026~p006,voronoi,1,0,timed_out,False,True,3,2062,0,,106.98444599950108,0.05188382444204708,30000.0,192.49903900004028,155.84493385441638,1801,0,426,426,10582.838592418982,14902.315450155156,65.18097138685553,78.0800374293489,-2.686114832615033,20.0,kinematic,False,0,0.0,,,,22.11.24.08.2026~perturbed,event,426,0,13.749273000030371,4.786236999962057,
