scenario,planner,trial,seed,status,completed,timed_out,robot_count,planner_calls,failed_plans,failed_robots,planning_time_ms_total,planning_time_ms_mean,simulated_duration_ms,wall_time_ms,realtime_factor,ticks,robot_collision_episodes,obstacle_collision_episodes,collision_episodes,planned_path_length_mm,travelled_distance_mm,mean_final_error_mm,max_final_error_mm,minimum_clearance_mm,dt_ms,backend,physics_validation_passed,missed_frames,max_frame_gap_ms,max_final_speed_mmps,evidence_directory,error,scenario_set,replan_policy,replan_count,replan_failures,planning_time_ms_initial,planning_time_ms_max_call,time_to_goal_ms,prediction_horizon_ms,planning_clearance_mm,planning_time_ms_p95_call,straight_line_mm,replan_period_ms,rebuild_calls,check_calls,planning_time_ms_rebuild,planning_time_ms_check,replans_active_blocked,replans_route_finished,replans_route_blocked,replans_scheduled,replans_other,direct_path_switches,path_shift_mm_mean,path_shift_mm_max,heading_change_rad_per_m,sharp_turns,minimum_robot_clearance_mm,minimum_obstacle_clearance_mm,contact_time_ms,obstacle_episodes_obstacle_initiated,obstacle_episodes_robot_initiated
random-s0-0000,visibility,1,0,completed,True,False,6,144,0,,212.68564400020296,1.4769836388902984,2780.000000000001,228.14270600002828,12.1853555993136,139,0,0,0,24559.54935681105,24265.53540135284,58.60910614037234,59.08456632699597,33.02659860948074,20.0,kinematic,False,0,0.0,,,,random,cycle,19,4,10.791320000066662,10.777832999963266,2780.000000000001,50.0,30.0,10.409909999964384,24532.51069962512,100.0,25,119,205.99695300006715,6.688691000135805,0,0,0,19,0,3,81.91234485254074,392.2465551087242,0.11266424536092431,0,717.9413730740476,33.02659860948074,0.0,0,0
random-s0-0000,visibility,1,0,completed,True,False,6,689,0,,447.28075199992645,0.6491738055151327,2820.0000000000023,487.2107680000113,5.788049413554704,141,0,0,0,24559.54935681105,24607.20319439899,58.531744766355324,59.594870099543634,98.63249092588774,20.0,kinematic,False,0,0.0,,,,random,cycle,43,98,10.776775999886468,13.252915999999004,2820.0000000000023,150.0,30.0,9.060417000000598,24532.51069962512,20.0,49,640,412.2658379998825,35.01491400004397,0,0,0,43,0,4,50.2082262796651,453.61458544502244,0.16520992590264721,0,490.14895203876074,98.63249092588774,0.0,0,0
random-s0-0000,visibility,1,0,completed,True,False,6,142,0,,111.41132799974685,0.7845868168996256,2880.0000000000014,126.51321600003484,22.764420121919976,144,0,0,0,24559.54935681105,24612.48282762606,58.57331332516429,59.641918780775086,128.91168255430227,20.0,kinematic,False,0,0.0,,,,random,cycle,10,17,10.791927999946438,10.499381999977686,2880.0000000000014,150.0,30.0,9.266946999957781,24532.51069962512,100.0,16,126,104.51715599992895,6.8941719998179,0,0,0,10,0,4,148.80781939328625,425.87113575644935,0.16120142128249826,0,455.42677483129296,128.91168255430227,0.0,0,0
random-s0-0000,visibility,1,0,completed,True,False,6,703,0,,110.41765100048906,0.15706635988689766,2740.000000000002,153.27351700000236,17.876538971830076,137,0,0,0,24559.54935681105,24205.24594946811,58.835641821307576,59.90592449967077,30.226972325478755,20.0,kinematic,False,0,0.0,,,,random,event,8,5,10.603277000086564,12.795591999974931,2740.000000000002,0.0,30.0,0.029699000037908263,24532.51069962512,20.0,14,689,98.77285499999289,11.644796000496171,8,0,0,0,0,4,65.59190026555642,183.78495713224783,0.05252014226883768,0,735.6696580359912,30.226972325478755,0.0,0,0
random-s0-0000,visibility,1,0,completed,True,False,6,143,0,,34.58430099999532,0.241848258741226,2780.000000000001,50.10357099996554,55.48506712229978,139,0,0,0,24559.54935681105,24209.519991787485,58.46451671296387,59.88444185580073,33.02659860948074,20.0,kinematic,False,0,0.0,,,,random,event,2,0,10.76642299995001,11.00139299995817,2780.000000000001,0.0,30.0,0.02269399999477173,24532.51069962512,100.0,8,135,32.39835099986976,2.1859500001255583,2,0,0,0,0,2,70.02654932513074,78.16644822577987,0.02864354903730429,0,738.3870740221844,33.02659860948074,0.0,0,0
random-s0-0000,visibility,1,0,completed,True,False,6,716,0,,155.72048999871413,0.21748671787529905,2920.0000000000023,207.10924799999475,14.098839275395738,146,0,0,0,24559.54935681105,24250.429470377618,58.66042579558038,59.42300798885795,30.226972325478755,20.0,kinematic,False,0,0.0,,,,random,event,13,10,10.65755299993043,10.57788699995399,2920.0000000000023,50.0,30.0,0.041007999982412,24532.51069962512,20.0,19,697,142.70523799996226,13.015251998751864,13,0,0,0,0,4,92.57574585799317,409.91795931945353,0.11174820327941543,0,789.7720619410848,30.226972325478755,0.0,0,0
random-s0-0000,visibility,1,0,completed,True,False,6,147,0,,63.77525800019157,0.43384529251831,2920.0000000000014,80.05385400002751,36.47544564186751,146,0,0,0,24559.54935681105,24265.271645775014,58.50513714752436,59.08456632699597,33.02659860948074,20.0,kinematic,False,0,0.0,,,,random,event,5,2,11.161872000002404,11.08245400001806,2920.0000000000014,50.0,30.0,0.05926000000044951,24532.51069962512,100.0,11,136,61.428381999974135,2.346876000217435,5,0,0,0,0,3,205.17215657497485,265.43330267922573,0.09019528536824722,0,803.1364139272523,33.02659860948074,0.0,0,0
random-s0-0000,visibility,1,0,completed,True,False,6,723,0,,101.30658900038725,0.1401197634860128,3080.0000000000023,147.5178870000491,20.878824003213776,154,0,0,0,24559.54935681105,24465.52141309809,58.21031441934579,58.810590034033886,30.226972325478755,20.0,kinematic,False,0,0.0,,,,random,event,8,63,10.5406260000791,11.831370999971114,3080.0000000000023,150.0,30.0,0.056185000005370966,24532.51069962512,20.0,14,709,86.4633449999701,14.843244000417144,6,0,0,0,2,4,167.53266973649667,453.6550795686074,0.12382559410287183,0,523.8105347820339,30.226972325478755,0.0,0,0
random-s0-0000,visibility,1,0,completed,True,False,6,144,0,,80.47755300037807,0.5588718958359588,3060.0000000000014,96.88675600000352,31.583264073780015,153,0,0,0,24559.54935681105,24683.232003794066,58.42447737354596,59.008859897718665,128.91168255430227,20.0,kinematic,False,0,0.0,,,,random,event,7,8,10.600152000051821,10.511285000006865,3060.0000000000014,150.0,30.0,9.130097000024762,24532.51069962512,100.0,13,131,77.83730400001332,2.640249000364747,7,0,0,0,0,4,160.34690155738093,425.87113575644935,0.16285720787617336,0,295.9702079896607,128.91168255430227,0.0,0,0
random-s0-0001,voronoi,1,0,completed,True,False,6,6,0,,8.328776999917409,1.3881294999862348,5499.999999999971,25.507608999987497,215.62193461577158,275,0,1,1,32064.86748025345,31539.892750965802,58.776770915635005,59.91707609203294,-147.90576513644925,20.0,kinematic,False,0,0.0,,,,random,once,0,0,8.328776999917409,4.130130000021381,5499.999999999971,0.0,0.0,4.130130000021381,30330.80085059432,20.0,6,0,8.328776999917409,0,0,0,0,0,0,0,0.0,0.0,0.11698088507086493,0,201.29950628310877,-147.90576513644925,80.0,0,1
