scenario,planner,replan_policy,prediction_horizon_ms,replan_period_ms,planning_clearance_mm,trial,seed,status,completed,failed_plans,time_to_goal_ms,simulated_duration_ms,wall_time_ms,realtime_factor,planned_path_length_mm,travelled_distance_mm,straight_line_mm,mean_final_error_mm,max_final_error_mm,max_final_speed_mmps
random-s0-0180,visibility,cycle,0.0,20.0,30.0,1,0,completed,True,0,3380.0000000000027,3380.0000000000027,1152.1791999984998,2.9335714444457976,24653.76290846925,24315.054219106765,24642.307710344758,58.52531670749289,59.72861083000328,
random-s0-0180,visibility,cycle,0.0,50.0,30.0,1,0,completed,True,0,3469.999999999996,3469.999999999996,498.5586999973748,6.960063077864788,24653.76290846925,24312.029195194915,24642.307710344758,59.19349443908968,59.70928193079725,
random-s0-0180,visibility,cycle,0.0,100.0,30.0,1,0,completed,True,0,3340.000000000002,3340.000000000002,247.86580001818947,13.475033666423114,24653.76290846925,24328.68850566326,24642.307710344758,58.05546005772867,58.69475112803201,
random-s0-0180,visibility,cycle,50.0,20.0,30.0,1,0,completed,True,0,3440.0000000000027,3440.0000000000027,1144.8315999878105,3.0048087422085747,24653.76290846925,24340.201395884647,24642.307710344758,59.02571797171907,59.939904520309625,
random-s0-0180,visibility,cycle,50.0,50.0,30.0,1,0,completed,True,0,3469.999999999996,3469.999999999996,470.23300000000745,7.379320464535541,24653.76290846925,24333.699792489984,24642.307710344758,59.3429877887011,59.94583393236929,
random-s0-0180,visibility,cycle,50.0,100.0,30.0,1,0,completed,True,0,3600.000000000002,3600.000000000002,237.07960001775064,15.184773382992304,24653.76290846925,24348.89843390043,24642.307710344758,58.11194451559744,58.69475112803201,
random-s0-0180,visibility,cycle,100.0,20.0,30.0,1,0,completed,True,0,3620.0000000000023,3620.0000000000023,1198.32039999892,3.0208949125820315,24653.76290846925,24513.62591588432,24642.307710344758,58.58061064536968,59.519030129309456,
random-s0-0180,visibility,cycle,100.0,50.0,30.0,1,0,completed,True,0,3689.999999999995,3689.999999999995,512.5639000034425,7.199102394794506,24653.76290846925,24428.77683284577,24642.307710344758,58.817472391917725,59.45312767997219,
random-s0-0180,visibility,cycle,100.0,100.0,30.0,1,0,completed,True,0,3760.000000000002,3760.000000000002,302.953600010369,12.41114150771376,24653.76290846925,24445.89667293646,24642.307710344758,58.74156423253428,59.89403625221876,
random-s0-0180,visibility,event,0.0,20.0,30.0,1,0,completed,True,0,3900.000000000003,3900.000000000003,219.1597999772057,17.795234346835656,24653.76290846925,24323.791985777192,24642.307710344758,58.42018601024322,59.72861083000328,
random-s0-0180,visibility,event,0.0,50.0,30.0,1,0,completed,True,0,3749.9999999999945,3749.9999999999945,146.9236999982968,25.52345196890268,24653.76290846925,24308.19682613124,24642.307710344758,59.17388004865262,59.639662439557824,
random-s0-0180,visibility,event,0.0,100.0,30.0,1,0,completed,True,0,3520.000000000002,3520.000000000002,83.71169999008998,42.04908036053155,24653.76290846925,24318.298896300505,24642.307710344758,58.12340217394742,58.69475112803201,
random-s0-0180,visibility,event,50.0,20.0,30.0,1,0,completed,True,0,4479.999999999993,4479.999999999993,170.89859998668544,26.21437507591651,24653.76290846925,24455.329527254165,24642.307710344758,58.805490537151485,59.73201673218576,
random-s0-0180,visibility,event,50.0,50.0,30.0,1,0,completed,True,0,4369.999999999992,4369.999999999992,112.66210000030696,38.78855444721948,24653.76290846925,24407.920799753483,24642.307710344758,59.30150839496431,59.99724691820133,
random-s0-0180,visibility,event,50.0,100.0,30.0,1,0,completed,True,0,4359.9999999999945,4359.9999999999945,88.6361000011675,49.18988989748607,24653.76290846925,24410.90229842341,24642.307710344758,58.2452613969587,58.823831494840086,
random-s0-0180,visibility,event,100.0,20.0,30.0,1,0,completed,True,0,3140.0000000000023,3140.0000000000023,187.4009000021033,16.755522518647243,24653.76290846925,24802.246498998626,24642.307710344758,58.92547329045871,59.89959233082277,
random-s0-0180,visibility,event,100.0,50.0,30.0,1,0,completed,True,0,4019.999999999993,4019.999999999993,150.5442000052426,26.703121075803647,24653.76290846925,24545.40560802257,24642.307710344758,58.95195809829972,59.45312767997219,
random-s0-0180,visibility,event,100.0,100.0,30.0,1,0,completed,True,0,3440.000000000002,3440.000000000002,92.4990999919828,37.18955103669288,24653.76290846925,24818.9600077166,24642.307710344758,58.66773714217633,59.8704714552054,
random-s0-0181,voronoi,once,0.0,20.0,0.0,1,0,completed,True,0,8299.999999999913,8299.999999999913,30.185400013579056,274.9673682066865,21901.75765065568,21153.5925536782,18156.47221504669,58.96996972646279,59.97534522385116,
random-s0-0181,voronoi,cycle,0.0,20.0,0.0,1,0,completed,True,0,3000.0000000000023,3000.0000000000023,244.8376000102144,12.25301996047521,21901.75765065568,18088.90444706327,18156.47221504669,59.0383204424277,59.94333951821009,
random-s0-0181,voronoi,cycle,0.0,50.0,0.0,1,0,completed,True,0,3019.9999999999973,3019.9999999999973,118.11670000315644,25.567934084844005,21901.75765065568,18110.83564680928,18156.47221504669,58.59630457569545,59.88950356457604,
random-s0-0181,voronoi,cycle,0.0,100.0,0.0,1,0,completed,True,0,3080.0000000000014,3080.0000000000014,61.693399999057874,49.92430308666789,21901.75765065568,18214.51457501552,18156.47221504669,58.69687583418396,59.94333951821026,
random-s0-0181,voronoi,cycle,50.0,20.0,0.0,1,0,completed,True,0,2940.0000000000023,2940.0000000000023,275.97690001130104,10.653065527874295,21891.254747370265,18943.04255914516,18156.47221504669,58.91765951715991,59.94333951821009,
random-s0-0181,voronoi,cycle,50.0,50.0,0.0,1,0,completed,True,0,3019.9999999999973,3019.9999999999973,132.30070000281555,22.82678776405361,21891.254747370265,18382.71620952225,18156.47221504669,58.26255858490882,59.96547778039958,
random-s0-0181,voronoi,cycle,50.0,100.0,0.0,1,0,completed,True,0,2980.0000000000014,2980.0000000000014,66.83080000220798,44.590218879641526,21891.254747370265,18195.320398782245,18156.47221504669,58.85790921565749,59.94333951821026,
random-s0-0181,voronoi,cycle,100.0,20.0,0.0,1,0,completed,True,0,2960.0000000000023,2960.0000000000023,251.3121000083629,11.778183381944212,21881.63753180536,18201.932177584957,18156.47221504669,58.91994487993902,59.94333951821009,
random-s0-0181,voronoi,cycle,100.0,50.0,0.0,1,0,completed,True,0,2999.9999999999973,2999.9999999999973,113.46189997857437,26.44059371971123,21881.63753180536,18179.97701883003,18156.47221504669,58.210026489400015,59.68725115487583,
random-s0-0181,voronoi,cycle,100.0,100.0,0.0,1,0,completed,True,0,3040.0000000000014,3040.0000000000014,72.35139998374507,42.01715517160673,21881.63753180536,18259.74919531538,18156.47221504669,59.082220591822086,59.94333951821026,
random-s0-0181,voronoi,event,0.0,20.0,0.0,1,0,completed,True,0,4979.999999999982,4979.999999999982,93.77879998646677,53.10368655515582,21901.75765065568,18163.19446968804,18156.47221504669,59.01604615517843,59.94333951821009,
random-s0-0181,voronoi,event,0.0,50.0,0.0,1,0,completed,True,0,4939.99999999999,4939.99999999999,53.43030000221916,92.45690179158294,21901.75765065568,18182.6328508965,18156.47221504669,58.61539494232321,59.88950356457604,
random-s0-0181,voronoi,event,0.0,100.0,0.0,1,0,completed,True,0,4999.999999999981,4999.999999999981,38.91170001588762,128.49605640356202,21901.75765065568,18283.52868703768,18156.47221504669,58.76415024920493,59.94333951821026,
