scenario,planner,replan_policy,prediction_horizon_ms,replan_period_ms,planning_clearance_mm,trial,seed,collision_episodes,obstacle_collision_episodes,robot_collision_episodes,obstacle_episodes_obstacle_initiated,obstacle_episodes_robot_initiated,minimum_clearance_mm,minimum_robot_clearance_mm,minimum_obstacle_clearance_mm,contact_time_ms
random-s0-0000,visibility,event,100.0,50.0,30.0,1,0,0,0,0,0,0,32.20261718109612,684.929840609268,32.20261718109612,0.0
random-s0-0000,visibility,event,100.0,100.0,30.0,1,0,0,0,0,0,0,33.02659860948074,658.5919049599976,33.02659860948074,0.0
random-s0-0001,voronoi,once,0.0,20.0,0.0,1,0,1,1,0,0,1,-147.90576513644925,201.2995062831088,-147.90576513644925,80.0
random-s0-0001,voronoi,cycle,0.0,20.0,0.0,1,0,0,0,0,0,0,13.16814357773788,121.60990868572134,13.16814357773788,0.0
random-s0-0001,voronoi,cycle,0.0,50.0,0.0,1,0,0,0,0,0,0,14.433762673086306,98.6339317224382,14.433762673086306,0.0
random-s0-0001,voronoi,cycle,0.0,100.0,0.0,1,0,0,0,0,0,0,19.983159510892165,186.99013724101485,19.983159510892165,0.0
random-s0-0001,voronoi,cycle,50.0,20.0,0.0,1,0,0,0,0,0,0,40.79711064279519,285.58689159409045,40.79711064279519,0.0
random-s0-0001,voronoi,cycle,50.0,50.0,0.0,1,0,0,0,0,0,0,43.38800545159594,285.5868915940902,43.38800545159594,0.0
random-s0-0001,voronoi,cycle,50.0,100.0,0.0,1,0,1,0,1,0,0,-68.03827178755186,-68.03827178755186,41.36785734422918,180.0
random-s0-0001,voronoi,cycle,100.0,20.0,0.0,1,0,0,0,0,0,0,33.548451997783786,350.2908138091126,33.548451997783786,0.0
random-s0-0001,voronoi,cycle,100.0,50.0,0.0,1,0,0,0,0,0,0,37.87703815910888,270.35681197761886,37.87703815910888,0.0
random-s0-0001,voronoi,cycle,100.0,100.0,0.0,1,0,0,0,0,0,0,45.39621497056453,347.3753795703982,45.39621497056453,0.0
random-s0-0001,voronoi,event,0.0,20.0,0.0,1,0,0,0,0,0,0,13.249539689767031,137.41541423775118,13.249539689767031,0.0
random-s0-0001,voronoi,event,0.0,50.0,0.0,1,0,1,0,1,0,0,-60.30619714677879,-60.30619714677879,14.433762673086306,70.0
random-s0-0001,voronoi,event,0.0,100.0,0.0,1,0,0,0,0,0,0,9.944773337449902,9.944773337449902,19.983159510892165,0.0
random-s0-0001,voronoi,event,50.0,20.0,0.0,1,0,0,0,0,0,0,52.66300326231101,139.56293527631328,52.66300326231101,0.0
random-s0-0001,voronoi,event,50.0,50.0,0.0,1,0,0,0,0,0,0,54.31360252421132,256.4054531075752,54.31360252421132,0.0
random-s0-0001,voronoi,event,50.0,100.0,0.0,1,0,0,0,0,0,0,44.46440909995576,170.99708460499642,44.46440909995576,0.0
random-s0-0001,voronoi,event,100.0,20.0,0.0,1,0,0,0,0,0,0,58.003554717252,161.25710754384437,58.003554717252,0.0
random-s0-0001,voronoi,event,100.0,50.0,0.0,1,0,0,0,0,0,0,54.31360252421132,241.24525535062867,54.31360252421132,0.0
random-s0-0001,voronoi,event,100.0,100.0,0.0,1,0,0,0,0,0,0,54.340369378866,361.3857850213129,54.340369378866,0.0
random-s0-0001,prm,once,0.0,20.0,30.0,1,0,1,1,0,0,1,-147.90576513644925,176.78089745289827,-147.90576513644925,80.0
random-s0-0001,prm,cycle,0.0,20.0,30.0,1,0,0,0,0,0,0,30.062275045234344,221.32054547652095,30.062275045234344,0.0
random-s0-0001,prm,cycle,0.0,50.0,30.0,1,0,0,0,0,0,0,30.28546037559255,197.60817514078175,30.28546037559255,0.0
random-s0-0001,prm,cycle,0.0,100.0,30.0,1,0,0,0,0,0,0,31.03244017178153,31.03244017178153,31.48811617842188,0.0
random-s0-0001,prm,cycle,50.0,20.0,30.0,1,0,0,0,0,0,0,94.78875779008808,242.5780588332728,94.78875779008808,0.0
random-s0-0001,prm,cycle,50.0,50.0,30.0,1,0,0,0,0,0,0,98.97281600835032,302.6456381953785,98.97281600835032,0.0
random-s0-0001,prm,cycle,50.0,100.0,30.0,1,0,0,0,0,0,0,62.91588555612495,285.5868915940905,62.91588555612495,0.0
random-s0-0001,prm,cycle,100.0,20.0,30.0,1,0,0,0,0,0,0,123.30386203454448,363.2762448491201,123.30386203454448,0.0
random-s0-0001,prm,cycle,100.0,50.0,30.0,1,0,0,0,0,0,0,94.92826837209878,285.5868915940902,94.92826837209878,0.0
random-s0-0001,prm,cycle,100.0,100.0,30.0,1,0,0,0,0,0,0,101.23023454560854,270.343574165864,101.23023454560854,0.0
random-s0-0001,prm,event,0.0,20.0,30.0,1,0,1,0,1,0,0,-12.69072583051863,-12.69072583051863,31.143665635299755,40.0
