scenario,planner,replan_policy,prediction_horizon_ms,replan_period_ms,planning_clearance_mm,trial,seed,replan_count,replan_failures,replan_attempts,blocked_robot_ms,blocked_time_pct,any_replan_failure,rebuild_calls,check_calls,planner_calls,planning_time_ms_total,planning_time_ms_initial,planning_time_ms_max_call,planning_time_ms_p95_call,planning_time_ms_rebuild,planning_time_ms_check,replans_active_blocked,replans_route_blocked,replans_route_finished,replans_scheduled,replans_other,direct_path_switches,path_shift_mm_mean,path_shift_mm_max,heading_change_rad_per_m,sharp_turns
random-s0-0015,visibility,cycle,100.0,100.0,30.0,1,0,33,11,44,1100.0,5.20833333333333,True,39,119,158,372.8066002659034,22.35060001839884,16.20899999397807,11.60860000527464,364.5517000404652,8.254900225438178,0,0,0,33,0,2,75.5353039864518,539.9399440476355,0.2663427516560243,0
random-s0-0015,visibility,event,0.0,20.0,30.0,1,0,19,7,26,140.0,0.6205673758865244,True,25,721,746,255.90289986575957,13.523499976145104,15.654899994842708,0.0389000051654875,240.1097000692971,15.793199796462432,18,1,0,0,0,4,52.73892158815779,253.4717865247838,0.1659246351009248,0
random-s0-0015,visibility,event,0.0,50.0,30.0,1,0,11,2,13,100.0,0.44563279857397564,True,17,285,302,168.02769983769394,25.746400002390143,25.63170000212267,0.0427999766543507,161.48519999114797,6.542499846545979,10,1,0,0,0,4,86.27314915455406,244.98991417360952,0.1765739744310072,0
random-s0-0015,visibility,event,0.0,100.0,30.0,1,0,7,1,8,100.0,0.44326241134751754,True,13,141,154,117.4786999472417,13.642799982335418,33.47100000246428,8.979100006399676,113.75140005839056,3.727299888851121,7,0,0,0,0,4,69.23213002648214,175.62103552640127,0.100124516511555,0
random-s0-0015,visibility,event,50.0,20.0,30.0,1,0,23,40,63,800.0,3.6429872495446243,True,29,786,815,344.0945996262599,28.25909995590337,16.973699996015057,0.0861000153236091,323.8145000359509,20.280099590308964,22,0,0,0,1,3,78.34195157560393,405.7165156955237,0.3495786274183286,1
random-s0-0015,visibility,event,50.0,50.0,30.0,1,0,14,17,31,850.0,4.614549402823022,True,20,271,291,188.06420001783408,27.794299967354164,15.998999995645136,9.08799999160692,180.50229991786185,7.561900099972263,13,0,0,0,1,4,101.1110355453559,436.9494661602346,0.1489571522647516,0
random-s0-0015,visibility,event,50.0,100.0,30.0,1,0,8,6,14,600.0,3.205128205128204,True,14,135,149,116.009000048507,24.30600003572181,12.58330000564456,11.17709997924976,112.59909995715134,3.4099000913556665,7,0,0,0,1,3,140.10493392440827,381.9521089242325,0.1183957097732793,0
random-s0-0015,visibility,event,100.0,20.0,30.0,1,0,33,63,96,1260.0,5.675675675675672,True,39,742,781,426.3872998999432,25.55600000778213,16.794900002423674,0.0992999994195997,405.5005000263918,20.886799873551357,32,0,0,0,1,4,113.8938840598673,691.3156165556759,0.4274371216057797,1
random-s0-0015,visibility,event,100.0,50.0,30.0,1,0,14,20,34,1000.0,5.341880341880347,True,20,278,298,182.7144001144916,24.650199979078025,13.068600004771724,9.15030000032857,175.4304999485612,7.28390016593039,13,0,0,0,1,4,195.7598294598161,698.9903908218628,0.2870401239021813,0
random-s0-0015,visibility,event,100.0,100.0,30.0,1,0,11,13,24,1300.0,6.646216768916153,True,17,138,155,155.01509991008788,25.65100000356324,16.02629999979399,11.202800000319256,151.2203000311274,3.7947998789604753,9,1,0,0,1,2,198.96833650259956,539.9399440476355,0.2133576531499835,0
random-s0-0016,voronoi,once,0.0,20.0,0.0,1,0,0,0,0,0.0,0.0,False,6,0,6,9.041900048032405,9.041900048032405,4.542000009678304,4.542000009678304,9.041900048032405,0.0,0,0,0,0,0,0,0.0,0.0,0.1866968370778302,2
