scenario,planner,replan_policy,prediction_horizon_ms,replan_period_ms,backend,physics_validation_passes,runs,scenario_count,completed_runs,completion_rate,failed_plans,collision_episodes,collision_free_rate,planner_calls_mean,replans_mean,replan_failures,planning_time_ms_median,planning_time_ms_p95,planning_time_ms_mean,call_time_ms_median,call_time_ms_max,time_to_goal_ms_mean,simulated_duration_ms_mean,wall_time_ms_mean,realtime_factor_mean,planned_path_length_mm_mean,travelled_distance_mm_mean,mean_final_error_mm,minimum_clearance_mm,near_miss_free_rate,call_time_ms_p95_median,planning_ms_per_sim_s_mean,collision_probability,collision_probability_ci95,contact_time_ms_mean,rebuild_share_of_planning_time,check_call_ms_mean,rebuild_call_ms_mean,replans_active_blocked_mean,replans_route_finished_mean,replans_route_blocked_mean,direct_path_switches_mean,path_shift_mm_mean,heading_change_rad_per_m_mean,sharp_turns_mean,path_efficiency_mean
random,voronoi,event+pred50,50.0,100.0,kinematic,0,200,200,196,0.98,4,115,0.58,160.165,8.485,113,36.11006899814129,68.46894899535982,39.86403124994695,0.23886691101440882,12.765201999627607,3944.4897959183595,3932.6999999999916,76.72072543998411,52.98539124972796,26993.850779997894,26180.994617106608,74.49351921528537,-177.64371923534372,0.36,0.07779600014146126,10.33360609216277,0.42000000000000004,0.354-0.489,177.20000000000005,0.8139812271232084,0.05089538898446947,2.2432473608648285,7.945,0.0,0.42,6.405,358.69750524407806,0.7065365285856263,4.705,0.9308404124498325
random,voronoi,event+pred150,150.0,20.0,kinematic,0,200,200,191,0.955,9,64,0.74,901.035,64.57,1003,128.2112524988861,288.1681520007078,142.63954747504158,0.13483178236643376,16.01558800030034,4985.863874345528,4946.699999999978,247.53536730000857,21.16482293747372,27344.811413851337,27982.534473484542,87.97149022420965,-176.25806146144146,0.495,0.06088850000196544,29.585997488363745,0.26,0.204-0.325,114.79999999999835,0.6484262041088709,0.06038256872282488,1.3114671439212802,57.69,0.0,6.15,15.14,148.03668017680715,2.0150980406995376,14.88,0.8763538983964938
random,voronoi,event+pred150,150.0,100.0,kinematic,0,200,200,191,0.955,9,89,0.68,180.98,20.72,237,55.17474299972491,120.80624800000805,61.23919980997016,0.31535695324611634,14.171194000027754,4698.42931937171,4672.499999999983,105.32039118999364,47.133149685678035,27344.811413851337,27836.90688860521,88.08271285692365,-179.49286605990815,0.49,4.297556499977873,13.281524305529574,0.31999999999999995,0.259-0.388,117.10000000000002,0.8239375503203593,0.06987410346368773,1.8915567488287095,18.075,0.0,2.185,9.64,272.97563159046445,1.3928146895578521,10.94,0.8788716104019074
random,prm,once,0.0,20.0,kinematic,0,200,200,181,0.905,19,458,0.135,6.0,0.0,0,12.656541999831461,21.80559699991136,11.448641530030272,2.109423666638577,15.404907000174717,4245.856353591151,4218.49999999999,37.562876635020075,116.62337853601224,25156.48849039393,24679.487877055202,125.88021155094708,-177.1092750116747,0.1,7.010871499915083,2.6396383029974375,0.865,0.811-0.906,435.50000000000017,0.9987689574381784,0.1483554210369077,1.9364179110976742,0.0,0.0,0.0,0.0,0.0,0.08526891256627091,0.31,0.9861640865575336
random,prm,cycle,0.0,20.0,kinematic,0,200,200,181,0.905,19,128,0.54,676.0,62.375,3543,470.82864749609143,1045.222221999211,523.4919604249308,0.6833740916605633,25.177086999974563,2913.9226519337035,2914.400000000002,590.5635238700097,6.149994582581348,25156.48849039393,24691.166686906236,125.91026304943786,-172.85732940191176,0.17,6.589494999843737,172.99767163852098,0.45999999999999996,0.392-0.529,159.40000000000003,0.8366704755589833,0.14069257708303057,6.41462020328107,0.0,0.0,0.0,6.445,90.09489606818211,0.752242195563103,4.285,0.9855403505181931
random,prm,cycle,0.0,100.0,kinematic,0,200,200,181,0.905,19,202,0.4,137.145,10.74,878,89.1346199985037,212.441214998762,102.26074739013256,0.6586540766238221,23.370100000192906,2897.569060773482,2899.800000000001,130.2550532250143,26.171727784835205,25156.48849039393,24630.482860760832,125.88687796131937,-176.91467890216379,0.205,6.616334000227653,33.97970429563709,0.6,0.531-0.665,196.1,0.8351805157379799,0.13987189746962958,5.131041378494575,0.0,0.0,0.0,4.515,231.40561863952993,0.3805464181356139,1.99,0.9885515309575994
random,prm,cycle+pred50,50.0,20.0,kinematic,0,200,200,181,0.905,19,84,0.67,695.97,88.205,6773,657.20785499866,1352.507965001223,684.7357593595211,0.9180183336470984,31.041170000207785,3101.4364640883996,3098.1000000000017,755.6204002149934,5.015053926630831,25438.479940565947,25631.121696389502,125.86580996985855,-177.44751943707615,0.37,6.5738455000428075,212.40014160747307,0.32999999999999996,0.269-0.398,116.90000000000002,0.8784070988096162,0.13833617042057142,6.391209773989974,0.0,0.0,0.0,7.35,93.25656918418612,1.023226081244056,6.7,0.9531422656166788
random,prm,cycle+pred50,50.0,100.0,kinematic,0,200,200,181,0.905,19,127,0.55,141.605,16.06,1465,131.52193100063414,267.5236809991475,137.11226970490543,0.9017555455912019,20.84802800027319,3083.7569060773494,3083.800000000001,166.78019321002242,21.636722751914974,25438.479940565947,25576.359755634996,125.901631600511,-172.85732940191187,0.375,6.611677999899257,42.96491700076541,0.44999999999999996,0.383-0.519,156.60000000000002,0.8779696551517279,0.13985170139601225,5.480555982239314,0.0,0.0,0.0,4.83,256.9623432036718,0.5622990092873648,3.59,0.95429077233999
random,prm,cycle+pred150,150.0,20.0,kinematic,0,200,200,146,0.73,57,109,0.615,710.505,106.015,18721,691.9279315020503,1610.0848999958544,790.0410881446146,1.003984110151944,31.495230000018637,3536.301369863013,3423.7999999999993,865.3835209749695,5.008758908667278,25382.321427394603,26658.239102673997,235.6839406433659,-177.92842296452812,0.445,6.162374000041382,219.1156527340564,0.385,0.320-0.454,144.79999999999995,0.8885891159134984,0.14699874927118486,6.283199785641825,0.0,0.0,0.0,7.12,116.16255487753648,1.336336149723345,10.09,0.9322679264932464
random,prm,cycle+pred150,150.0,100.0,kinematic,0,200,200,146,0.73,57,136,0.535,144.445,20.465,3477,148.27698900217,376.69869299497805,165.15513068025254,1.0370811500513764,30.953173999932915,3512.739726027396,3425.9999999999995,197.54477225501887,20.92546366098676,25382.321427394603,26526.031975294467,235.70572361968698,-176.91467890216379,0.405,6.294496000009531,45.86182769803209,0.46499999999999997,0.397-0.534,185.30000000000004,0.8970433211786248,0.1437773115050862,5.6589498447327555,0.0,0.0,0.0,4.405,264.90410351056374,0.6600123371412998,4.82,0.9341954941577215
