scenario,planner,trial,seed,status,completed,timed_out,robot_count,planner_calls,failed_plans,failed_robots,planning_time_ms_total,planning_time_ms_mean,simulated_duration_ms,wall_time_ms,realtime_factor,ticks,robot_collision_episodes,obstacle_collision_episodes,collision_episodes,planned_path_length_mm,travelled_distance_mm,mean_final_error_mm,max_final_error_mm,minimum_clearance_mm,dt_ms,backend,physics_validation_passed,missed_frames,max_frame_gap_ms,max_final_speed_mmps,evidence_directory,error,scenario_set,replan_policy,replan_count,replan_failures,planning_time_ms_initial,planning_time_ms_max_call,time_to_goal_ms,prediction_horizon_ms,planning_time_ms_p95_call,straight_line_mm,replan_period_ms,rebuild_calls,check_calls,planning_time_ms_rebuild,planning_time_ms_check,replans_active_blocked,replans_route_finished,replans_route_blocked,replans_scheduled,replans_other,direct_path_switches,path_shift_mm_mean,path_shift_mm_max,heading_change_rad_per_m,sharp_turns,minimum_robot_clearance_mm,minimum_obstacle_clearance_mm,contact_time_ms
random-s0-0150,visibility,1,0,planning_failed,False,False,6,532,1,B4,580.0664540042817,1.0903504774516573,2340.000000000002,630.4525979999198,3.711619251667037,117,0,0,0,17806.565496009807,17739.938378902123,857.7406459613468,4852.104401185119,226.19697891006905,20.0,kinematic,False,0,0.0,,,,random,cycle,48,16,11.998246999610274,12.975113000265992,,150.0,11.215149999770802,22657.205941563105,20.0,53,479,552.5286099996265,27.5378440046552,0,0,0,48,0,4,85.5718223409631,719.3746284166904,0.3803159114326972,0,522.717438868227,226.19697891006905,0.0
random-s0-0150,visibility,1,0,planning_failed,False,False,6,109,1,B4,63.129626003046724,0.5791708807618966,2360.000000000001,84.49644300026193,27.930169794161454,118,1,0,1,17806.565496009807,17667.669231581673,857.3012183743981,4852.104401185119,-36.85336146314336,20.0,kinematic,False,0,0.0,,,,random,cycle,4,6,12.013081000077364,11.732168999969872,,150.0,0.094366000212176,22657.205941563105,100.0,9,100,57.30624999978318,5.823376003263547,0,0,0,4,0,3,279.1912780046365,492.7150702942514,0.13278795206193358,0,-36.85336146314336,243.48805470508768,40.0
random-s0-0150,visibility,1,0,planning_failed,False,False,6,521,1,B4,147.20284499253466,0.28253904988970185,2220.0000000000014,197.08209000009447,11.26434167609516,111,0,0,0,17806.565496009807,17519.969337350325,857.3861142372126,4852.104401185119,223.13485922785122,20.0,kinematic,False,0,0.0,,,,random,event,9,0,12.219812000239472,28.792367999812996,,0.0,0.02515599999242113,22657.205941563105,20.0,14,507,138.74191999957475,8.460924992959917,9,0,0,0,0,4,82.94751434565438,212.64409413618975,0.12881782936470337,0,269.9584076283107,223.13485922785122,0.0
random-s0-0150,visibility,1,0,planning_failed,False,False,6,107,1,B4,38.27373199783324,0.35769842988629197,2220.0000000000005,59.18695899981685,37.50826258883938,111,0,0,0,17806.565496009807,17517.560765248792,857.2700008974298,4852.104401185119,200.73295684179533,20.0,kinematic,False,0,0.0,,,,random,event,2,0,12.2570269991229,12.214808999942761,,0.0,0.03759000037462101,22657.205941563105,100.0,7,100,36.51219599896649,1.7615359988667478,2,0,0,0,0,3,67.87213176247968,114.82131187489415,0.032717203399998215,0,200.73295684179533,224.28027287349568,0.0
random-s0-0150,visibility,1,0,planning_failed,False,False,6,527,1,B4,164.12351200369812,0.311429814048763,2260.0000000000014,214.71580300021742,10.525541056694895,113,0,0,0,17806.565496009807,17549.62610633794,857.5986328392106,4852.104401185119,223.465971871818,20.0,kinematic,False,0,0.0,,,,random,event,12,0,12.18807199938965,12.109310000141704,,50.0,0.03433399979257956,22657.205941563105,20.0,17,510,155.44989999898462,8.673612004713505,12,0,0,0,0,4,85.86079504860562,378.3591921209989,0.13757708023305004,0,469.7528771908941,223.465971871818,0.0
random-s0-0150,visibility,1,0,planning_failed,False,False,6,109,1,B4,61.62973099935698,0.5654103761408897,2240.0000000000005,82.79903899983765,27.053454086639732,112,0,0,0,17806.565496009807,17561.773920228472,857.2946237765315,4852.104401185119,224.51245754085295,20.0,kinematic,False,0,0.0,,,,random,event,4,0,11.976098000559432,12.141562000124395,,50.0,0.06728900007146876,22657.205941563105,100.0,9,100,59.86154200036253,1.7681889989944466,4,0,0,0,0,3,260.0404083849706,366.6941773151901,0.1864292778767702,0,391.9457152803137,224.51245754085295,0.0
random-s0-0150,visibility,1,0,planning_failed,False,False,6,534,1,B4,175.6724250035404,0.32897457865831536,2380.000000000002,227.9768079997666,10.439658405965744,119,0,0,0,17806.565496009807,17980.638654173443,857.6960482987737,4852.104401185119,223.17220981629987,20.0,kinematic,False,0,0.0,,,,random,event,14,15,11.821534000318934,11.682520000249497,,150.0,0.05729500026063761,22657.205941563105,20.0,19,515,166.093611001088,9.578814002452418,14,0,0,0,0,4,161.39994260106317,730.6784990386068,0.29220027896604966,0,522.7117694181196,223.17220981629987,0.0
random-s0-0150,visibility,1,0,planning_failed,False,False,6,112,1,B4,47.111875001519365,0.42064174108499436,2660.000000000001,71.04961300001378,37.43862756859049,133,0,0,0,17806.565496009807,17687.883105881832,857.3573478562661,4852.104401185119,236.05901829836262,20.0,kinematic,False,0,0.0,,,,random,event,3,1,11.823127999377903,11.678339999889431,,150.0,0.06564299974343157,22657.205941563105,100.0,8,104,45.25758699855942,1.8542880029599473,3,0,0,0,0,3,245.64949608654402,419.7649336407138,0.22444449730082536,0,325.83045092586536,236.05901829836262,0.0
random-s0-0151,voronoi,1,0,completed,True,False,6,6,0,,4.440554999291635,0.7400924998819391,5139.999999999978,34.81857699989632,147.62234539381905,257,1,1,2,26819.313960919713,26373.599622490532,58.44752395895973,59.006645183555975,-130.80561505094795,20.0,kinematic,False,0,0.0,,,,random,once,0,0,4.440554999291635,4.27635099958934,5139.999999999978,0.0,4.27635099958934,25244.6827900413,20.0,6,0,4.440554999291635,0,0,0,0,0,0,0,0.0,0.0,0.08124911820699983,0,-44.140489796925465,-130.80561505094795,440.0000000000001
random-s0-0151,voronoi,1,0,completed,True,False,6,726,0,,397.6506640105981,0.5477281873424217,3220.0000000000023,465.8975749998717,6.911390341537813,161,0,1,1,26819.313960919713,26649.05526726755,58.42468549539213,58.927739119549,-130.80561505094795,20.0,kinematic,False,0,0.0,,,,random,cycle,83,6,4.406259999541362,6.103622000409814,3220.0000000000023,0.0,4.194333999748778,25244.6827900413,20.0,89,637,354.36623799978406,43.28442601081406,0,0,0,83,0,11,117.43723741123216,750.0,1.3852225023638416,7,158.29984926490806,-130.80561505094795,400.00000000000006
