scenario,planner,trial,seed,status,completed,timed_out,robot_count,planner_calls,failed_plans,failed_robots,planning_time_ms_total,planning_time_ms_mean,simulated_duration_ms,wall_time_ms,realtime_factor,ticks,robot_collision_episodes,obstacle_collision_episodes,collision_episodes,planned_path_length_mm,travelled_distance_mm,mean_final_error_mm,max_final_error_mm,minimum_clearance_mm,dt_ms,backend,physics_validation_passed,missed_frames,max_frame_gap_ms,max_final_speed_mmps,evidence_directory,error,scenario_set,replan_policy,replan_count,replan_failures,planning_time_ms_initial,planning_time_ms_max_call,time_to_goal_ms,prediction_horizon_ms,planning_clearance_mm,planning_time_ms_p95_call,straight_line_mm,replan_period_ms,rebuild_calls,check_calls,planning_time_ms_rebuild,planning_time_ms_check,replans_active_blocked,replans_route_finished,replans_route_blocked,replans_scheduled,replans_other,direct_path_switches,path_shift_mm_mean,path_shift_mm_max,heading_change_rad_per_m,sharp_turns,minimum_robot_clearance_mm,minimum_obstacle_clearance_mm,contact_time_ms
random-s0-0000,voronoi,1,0,completed,True,False,3,399,0,,311.3529600001925,0.7803332330831892,3760.0000000000027,357.6668800000107,10.51257527674883,188,0,0,0,18130.274030111064,15722.891579664192,58.441458677581714,59.16635580827475,57.90577929144732,20.0,kinematic,False,0,0.0,,,,random,cycle,86,0,3.5017890000403895,4.63204800001904,3760.0000000000027,0.0,0.0,3.6152600000036728,14555.329011589882,20.0,89,310,302.66262400007804,8.690336000114485,0,0,0,86,0,1,23.655386165557342,265.2089420449482,0.5343918075102913,2,596.6851609028134,57.90577929144732,0.0
random-s0-0000,voronoi,1,0,completed,True,False,3,403,0,,328.8896620003072,0.8161033796533678,3840.000000000003,380.83299699999884,10.083159889635338,192,0,0,0,18130.274030111064,15722.684079931467,58.51080128262206,59.16635580827475,74.89634324012843,20.0,kinematic,False,0,0.0,,,,random,cycle,86,5,3.799925999999232,6.756620000004432,3840.000000000003,0.0,20.0,3.740169999986165,14555.329011589882,20.0,89,314,319.1593810001052,9.730281000202012,0,0,0,86,0,1,23.655386165557342,265.2089420449482,0.5344047888200748,2,596.6851609028134,74.89634324012843,0.0
random-s0-0000,voronoi,1,0,completed,True,False,3,407,0,,307.852795000116,0.7563950737103586,3920.000000000003,353.29146999998784,11.09565424831836,196,0,0,0,18130.274030111064,15722.075125812855,58.71393691590402,59.16635580827475,88.0099500262886,20.0,kinematic,False,0,0.0,,,,random,cycle,86,10,3.3770070000116448,5.859149999992042,3920.000000000003,0.0,40.0,3.5367180000207554,14555.329011589882,20.0,89,318,299.2672770000695,8.585518000046477,0,0,0,86,0,1,23.655386165557342,265.2089420449482,0.5344305711048021,2,596.6851609028134,88.0099500262886,0.0
random-s0-0000,voronoi,1,0,completed,True,False,3,411,0,,282.5259999998764,0.6874111922138111,4000.0000000000027,326.39842399999,12.254961133023503,200,0,0,0,18130.274030111064,15721.114966701636,59.034118287077916,59.62568833708439,101.8823447736466,20.0,kinematic,False,0,0.0,,,,random,cycle,86,15,3.047717999976385,3.6748719999764035,4000.0000000000027,0.0,60.0,3.2042440000168426,14555.329011589882,20.0,89,322,274.18615599987106,8.339844000005314,0,0,0,86,0,1,23.655386165557342,265.2089420449482,0.5344675339630861,2,596.6851609028134,101.8823447736466,0.0
random-s0-0000,voronoi,1,0,completed,True,False,3,419,0,,311.14911400013057,0.742599317422746,4159.999999999999,358.6973470000032,11.597520959640557,208,0,0,0,18130.274030111064,15722.90476453237,58.437683858160234,59.16635580827475,127.35905500103087,20.0,kinematic,False,0,0.0,,,,random,cycle,86,23,3.3801660000278844,4.821306000025061,4159.999999999999,0.0,90.0,3.5290550000013354,14555.329011589882,20.0,89,330,301.91944900002454,9.229665000106024,0,0,0,86,0,1,23.655386165557342,265.2089420449482,0.5344122455754622,2,596.6851609028134,127.35905500103087,0.0
random-s0-0000,voronoi,1,0,completed,True,False,3,353,0,,62.16693000018836,0.17611028328665257,2840.0000000000023,94.15789900000959,30.162100367168485,142,0,0,0,16646.374343769436,14527.087534300128,58.768324641302534,59.16635580827475,113.9997504834086,20.0,kinematic,False,0,0.0,,,,random,cycle,15,0,3.3955389999675845,3.7186579999968217,2840.0000000000023,100.0,0.0,0.18967400001201895,14555.329011589882,20.0,18,335,53.66159400003312,8.50533600015524,0,0,0,15,0,3,92.10167283277453,443.76249777897357,0.2952497406986829,0,1735.930925111596,113.9997504834086,0.0
random-s0-0000,voronoi,1,0,completed,True,False,3,353,0,,57.630871000100115,0.16326025779065187,2840.0000000000023,88.95326200001819,31.926878634303726,142,0,0,0,16646.374343769436,14526.432111724367,58.68547781750737,59.16635580827475,113.19136970961716,20.0,kinematic,False,0,0.0,,,,random,cycle,14,8,3.078711000000567,3.502744000002167,2840.0000000000023,100.0,20.0,0.046850000018139326,14555.329011589882,20.0,17,336,49.513363000045274,8.11750800005484,0,0,0,14,0,2,71.30563666811497,446.1148908429594,0.22158499490784983,0,1735.930925111596,113.19136970961716,0.0
random-s0-0000,voronoi,1,0,completed,True,False,3,353,0,,57.77798099987308,0.16367699999964044,2840.0000000000023,87.92052100000092,32.30190139569319,142,0,0,0,16646.374343769436,14535.87920281267,59.153414295367405,59.98357636195284,106.64934085628613,20.0,kinematic,False,0,0.0,,,,random,cycle,14,16,3.4596650000366935,3.727867000009155,2840.0000000000023,100.0,40.0,0.044117999976833744,14555.329011589882,20.0,17,336,49.802577999997766,7.975402999875314,0,0,0,14,0,2,71.30563666811497,446.1148908429594,0.22186034902408228,0,1735.930925111596,106.64934085628613,0.0
random-s0-0000,voronoi,1,0,completed,True,False,3,395,0,,142.48822500005076,0.3607296835444323,3680.0000000000027,179.99521299998378,20.444988167548292,184,0,0,0,16646.374343769436,14788.363444429553,58.80047668462061,59.16635580827475,129.06301781822157,20.0,kinematic,False,0,0.0,,,,random,cycle,42,31,3.136149999988902,4.557848000018794,3680.0000000000027,100.0,60.0,3.1147720000035406,14555.329011589882,20.0,45,350,133.67251699989424,8.81570800015652,0,0,0,42,0,2,28.249697545164217,315.4883039533561,0.35803350984353915,1,1735.930925111596,129.06301781822157,0.0
random-s0-0000,voronoi,1,0,completed,True,False,3,358,0,,55.23975999940944,0.15430100558494259,2940.0000000000023,86.20568300000286,34.1044800955861,147,0,0,0,16646.374343769436,14642.10160296923,58.70557540430226,59.16635580827475,92.41569697896904,20.0,kinematic,False,0,0.0,,,,random,cycle,15,27,3.0548689999818635,3.483501999994587,2940.0000000000023,100.0,90.0,0.05221700001811769,14555.329011589882,20.0,18,340,46.86152099992569,8.378238999483756,0,0,0,15,0,2,70.58905652957036,329.37754298337734,0.37807539227506526,1,1735.930925111596,92.41569697896904,0.0
